patterns,Supp X,Supp Y,Supp Z
( 1+3+),1,0.66,0.706
( 3+ )( 0+3+ ),0.66,0.666,0.696
( 3+ )( 1+3+ ),0.66,0.541,0.692
( 1+ )( 3+ )( 0+3+ ),0.66,0.65,0.695
( 1+ )( 3+ )( 1+3+ ),0.66,0.536,0.691
( 0+ )( 3+ )( 0+3+ ),0.66,0.656,0.695
( 0+ )( 3+ )( 1+3+ ),0.66,0.54,0.691
( 1+3+ ),1,0.66,0.706
( 3+ )( 0+3+ ),0.66,0.66,0.695
( 3+ )( 1+3+ ),0.66,0.54,0.691
( 1+ )( 3+ )( 0+3+ ),0.66,0.65,0.695
( 1+ )( 3+ )( 1+3+ ),0.66,0.53,0.691
( 0+)( 3+ )( 0+3+ ),0.66,0.65,0.695
( 0+)( 3+ )( 1+3+ ),0.66,0.54,0.691
( 9+)( 10+ )( 11+ ),0.83,0.87,0.707
( 8+)( 9+ )( 10+ )( 11+ ),0.83,0.86,0.707
( 5+)( 6+ )( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.66,0.7,0.69
( 4+)( 5+ )( 6+ )( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.66,0.7,0.697
( 3+)( 4+ )( 5+ )( 6+ )( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.66,0.7,0.697
( 2+)( 3+ )( 4+ )( 5+ )( 6+ )( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.66,0.7,0.697
( 1+ )( 2+ )( 3+ )( 4+ )( 5+ )( 6+ )( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.66,0.7,0.697
( 0+ )( 1+ )( 2+ )( 3+ )( 4+ )( 5+ )( 6+ )( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.66,0.7,0.697
(11+ ),1,1,0.715
( 10+ )( 11+ ),1,0.99,0.715
( 9+ )( 10+ )( 11+ ),0.83,0.87,0.707
( 8+ )( 9+ )( 10+ )( 11+ ),0.83,0.86,0.707
( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.83,0.86,0.707
( 6+ )( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.83,0.86,0.707
( 5+ )( 6+ )( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.66,0.7,0.697
( 4+ )( 5+ )( 6+ )( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.66,0.7,0.697
( 3+ )( 4+ )( 5+ )( 6+ )( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.66,0.7,0.697
( 2+ )( 3+ )( 4+ )( 5+ )( 6+ )( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.66,0.7,0.697
( 1+ )( 2+ )( 3+ )( 4+ )( 5+ )( 6+ )( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.66,0.7,0.697
( 0+ )( 1+ )( 2+ )( 3+ )( 4+ )( 5+ )( 6+ )( 7+ )( 8+ )( 9+ )( 10+ )( 11+ ),0.66,0.7,0.697
( 11+),1,1,0.715
( 10+)( 11+ ),1,0.99,0.715
