patterns,Supp X,Supp Y,Supp Z
(1+4+6+8+)(3+4+7+8+)(1+3+4+6+8+)(2+3+4+7+8+),0.4,0.05,0.66
(1+4+6+8+)(1+4+6+9+),0.4,0.05,0.66
(1+4+6+8+)(3+4+8+9+),0.4,0.05,0.66
(1+4-)(6+7+8+),0.4,0.08,0.67
(1+4-)(2+9+)(8+9+),0.4,0.07,0.66
(1+4-)(2+9+)(6+9+),0.4,0.07,0.66
(1+4-)(1+4+6+8+)(3+4+6+8+),0.4,0.05,0.66
(1+4-)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(1+4-)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(1+4-)(7+8+9+),0.4,0.05,0.66
(1+4-)(8+9+)(2+7+9+),0.4,0.07,0.66
(1+4-)(2+9-),0.4,0.06,0.66
(1+4-)(5+9-)(6+9+)(8+9+),0.4,0.07,0.66
(1+4-)(2+3+4+8+)(3+4+6+8+),0.4,0.05,0.66
(1+4-)(2+4+7+8+),0.4,0.05,0.66
(1+4-)(5+9+)(8+9+),0.4,0.07,0.66
(1+4-)(6+9+)(2+4+8+)(2+3+4+8+),0.4,0.05,0.66
(1+4+)(6+7+8+),0.4,0.11,0.67
(1+4+)(2+9+)(8+9+),0.4,0.08,0.66
(1+4+)(2+9+)(6+9+),0.4,0.07,0.66
(1+4+)(1+4+6+8+)(3+4+6+8+),0.4,0.05,0.66
(1+4+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(1+4+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(1+4+)(7+8+9+),0.4,0.05,0.66
(1+4+)(8+9+)(2+7+9+),0.4,0.07,0.66
(1+4+)(2+9-),0.4,0.06,0.66
(1+4+)(5+9-)(6+9+)(8+9+),0.4,0.07,0.66
(1+4+)(2+3+4+8+)(3+4+6+8+),0.4,0.05,0.66
(1+4+)(2+4+7+8+),0.4,0.05,0.66
(1+4+)(5+9+)(8+9+),0.4,0.07,0.66
(1+4+)(6+9+)(2+4+8+)(2+3+4+8+),0.4,0.05,0.66
(4+8+9+)(3+4+7+8+)(1+3+4+6+8+)(2+3+4+7+8+),0.4,0.06,0.66
(4+8+9+)(1+4+6+9+),0.4,0.05,0.66
(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(3+4+6+8+)(3+4+8+9+),0.4,0.08,0.66
(3+4+6+8+)(3+4+7+8+)(1+3+4+6+8+),0.4,0.05,0.66
(2+3+6+)(4+6+9+)(1+4+6+9+),0.4,0.06,0.66
(2+3+6+)(7+8+9+),0.4,0.06,0.66
(2+3+6+)(2+7+9+),0.4,0.05,0.66
(2+4-7+)(4+6+9+)(1+4+6+9+),0.4,0.06,0.66
(2+4-7+)(7+8+9+),0.4,0.05,0.66
(2+4-7+)(2+7+9+),0.4,0.05,0.66
(9+)(6+7+8+),0.4,0.46,0.68
(9+)(2+9+)(8+9+),0.4,0.12,0.67
(9+)(2+9+)(6+9+),0.4,0.09,0.67
(9+)(2+4+8+)(3+4+7+8+)(1+3+4+6+8+),0.4,0.05,0.66
(9+)(5+9-)(6+9+)(8+9+),0.4,0.07,0.66
(9+)(2+3+4+8+)(3+4+6+8+),0.4,0.05,0.66
(9+)(6+9+)(2+4+8+)(2+3+4+8+),0.4,0.05,0.66
(9+)(4+8+9+)(3+4+8+9+),0.4,0.06,0.66
(9+)(4+6+9+)(1+4+6+9+),0.4,0.05,0.66
(9+)(7+8+9+),0.4,0.05,0.66
(9+)(8+9+)(2+7+9+),0.4,0.07,0.66
(9+)(2+3+4+7+8+),0.4,0.06,0.66
(9+)(5+9+)(8+9+),0.4,0.06,0.66
(1+2+6+7+)(3+4+7+8+)(1+3+4+6+8+)(2+3+4+7+8+),0.4,0.06,0.66
(1+2+6+7+)(1+4+6+9+),0.4,0.05,0.66
(1+2+6+7+)(3+4+8+9+),0.4,0.05,0.66
