patterns,Supp X,Supp Y,Supp Z
(1+4+6+8+),0.89,0.1,0.68
(1+4-)(2+3+6+)(1+2+3+6+),0.44,0.07,0.67
(1+4-)(3+5+),0.44,0.06,0.67
(1+4-)(1+8-)(3+5-),0.44,0.05,0.67
(1+4-)(1+9-)(5+9-),0.44,0.05,0.67
(1+4-)(5+9-)(0+2+5+)(1+3+4+),0.44,0.06,0.67
(1+4-)(2+8+)(2+7+8+),0.44,0.08,0.67
(1+4-)(2+8-)(3+5-)(5+9-),0.56,0.06,0.67
(1+4-)(5+9+),0.44,0.06,0.67
(1+4-)(0+4+5+),0.44,0.05,0.67
(0+7-)(2+3+6+)(1+2+3+6+),0.44,0.07,0.67
(0+7-)(5+9-)(0+2+5+)(1+3+4+),0.44,0.06,0.67
(0+7-)(2+8-)(3+5-)(5+9-),0.56,0.06,0.67
(0+7-)(0+9+)(5+9+),0.44,0.06,0.67
(0+7-)(0+9-),0.44,0.05,0.67
(0+7-)(1+8-)(3+5-),0.44,0.05,0.67
(0+7-)(1+9-)(5+9-),0.44,0.05,0.67
(0+7-)(2+8+)(2+7+8+),0.44,0.08,0.67
(0+7-)(0+4+5+),0.44,0.06,0.67
(1+4+)(2+3+6+)(1+2+3+6+),0.44,0.09,0.67
(1+4+)(5+9-)(0+2+5+)(1+3+4+),0.44,0.06,0.67
(1+4+)(2+8-)(3+5-)(5+9-),0.56,0.06,0.67
(1+4+)(3+5+),0.44,0.05,0.67
(1+4+)(1+8-)(3+5-),0.44,0.05,0.67
(1+4+)(1+9-)(5+9-),0.44,0.05,0.67
(1+4+)(2+8+)(2+7+8+),0.44,0.08,0.67
(1+4+)(5+9+),0.44,0.07,0.67
(1+4+)(0+4+5+),0.44,0.06,0.67
(3+4+6+8+),0.89,0.1,0.68
(5+8+)(2+3+6+)(1+2+3+6+),0.44,0.07,0.67
(5+8+)(2+7+8+),0.44,0.07,0.67
(5+8+)(5+9-)(0+2+5+)(1+3+4+),0.44,0.06,0.67
(5+8+)(5+9+),0.44,0.06,0.67
(5+8+)(0+4+5+),0.44,0.05,0.67
(5+8-)(2+3+6+)(1+2+3+6+),0.44,0.06,0.67
(5+8-)(5+9-),0.44,0.06,0.67
(5+8-)(5+9+),0.44,0.06,0.67
(0+1+2+)(2+3+6+)(1+2+3+6+),0.44,0.07,0.67
(0+1+2+)(2+7+8+),0.44,0.07,0.67
(0+1+2+)(0+2+5+)(1+3+4+),0.44,0.06,0.67
(1+2+6+7+),1.0,0.18,0.69
(1+2+8+)(2+3+6+)(1+2+3+6+),0.44,0.07,0.67
(1+2+8+)(2+7+8+),0.44,0.07,0.67
