patterns,Supp X,Supp Y,Supp Z
(1+4+6+8+)(1+2+3+7+8+),0.4,0.08,0.66
(1+4+6+8+)(6+7+8+9+),0.4,0.06,0.66
(1+4-)(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.05,0.66
(1+4-)(3+4+6+)(1+2+3+8+)(1+3+4+6+)(1+2+3+7+8+),0.4,0.05,0.66
(1+4-)(0+3+5+),0.4,0.1,0.67
(1+4-)(0+1+3+),0.4,0.07,0.66
(1+4-)(4+5-)(0+2+3+),0.4,0.06,0.66
(1+4-)(7+9+),0.4,0.06,0.66
(0+7-)(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.05,0.66
(0+7-)(3+4+6+)(1+2+3+8+)(1+3+4+6+)(1+2+3+7+8+),0.4,0.05,0.66
(0+7-)(0+3+5+),0.4,0.1,0.67
(0+7-)(0+1+3+),0.4,0.07,0.66
(0+7-)(4+5-)(0+2+3+),0.4,0.06,0.66
(0+7-)(7+9+),0.4,0.06,0.66
(1+4+)(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.06,0.66
(1+4+)(3+4+6+)(1+2+3+8+)(1+3+4+6+)(1+2+3+7+8+),0.4,0.05,0.66
(1+4+)(0+3+5+),0.4,0.1,0.67
(1+4+)(0+1+3+),0.4,0.07,0.66
(1+4+)(4+5-)(0+2+3+),0.4,0.06,0.66
(1+4+)(7+9+),0.4,0.06,0.66
(3+4+6+8+)(1+2+3+7+8+),0.4,0.08,0.66
(3+4+6+8+)(6+7+8+9+),0.4,0.06,0.66
(5+8+)(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.05,0.66
(5+8+)(3+4+6+)(1+2+3+8+)(1+3+4+6+)(1+2+3+7+8+),0.4,0.05,0.66
(5+8+)(7+9+),0.4,0.06,0.66
(5+8+)(0+2+3+),0.5,0.06,0.67
(5+8-)(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.05,0.66
(5+8-)(3+4+6+)(1+2+3+8+)(1+3+4+6+)(1+2+3+7+8+),0.4,0.05,0.66
(5+8-)(7+9+),0.4,0.06,0.66
(5+8-)(0+2+3+),0.5,0.06,0.67
(0+1+2+)(0+2+3+),0.5,0.07,0.67
(0+1+2+)(0+3+5+),0.4,0.06,0.66
(1+2+6+7+)(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.06,0.66
(1+2+8+)(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.05,0.66
(1+2+8+)(3+4+6+)(1+2+3+8+)(1+3+4+6+)(1+2+3+7+8+),0.4,0.05,0.66
(0+7+)(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.05,0.66
(0+7+)(3+4+6+)(1+2+3+8+)(1+3+4+6+)(1+2+3+7+8+),0.4,0.05,0.66
(0+7+)(0+3+5+),0.4,0.1,0.67
(0+7+)(0+1+3+),0.4,0.07,0.66
(0+7+)(4+5-)(0+2+3+),0.4,0.06,0.66
(0+7+)(7+9+),0.4,0.06,0.66
(0+5+6+),0.5,0.05,0.67
(1+)(3+5+)(0+2+3+),0.4,0.05,0.66
(1+)(3+4+6+)(1+2+3+8+)(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.05,0.66
(1+)(2+5+),0.4,0.18,0.67
(1+)(0+3+5+),0.4,0.13,0.67
(1+)(0+1+3+),0.4,0.09,0.67
(1+)(0+7-),0.4,0.07,0.66
(1+)(4+5-)(0+2+3+),0.4,0.05,0.66
(1+)(7+9+),0.4,0.06,0.66
(1+4-6+)(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.05,0.66
(1+4-6+)(3+4+6+)(1+2+3+8+)(1+3+4+6+)(1+2+3+7+8+),0.4,0.05,0.66
(2+4+7+8+9+),0.9,0.11,0.68
(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.06,0.66
(1+3+4+6+)(6+7+8+9+),0.4,0.05,0.66
(2+3+6+8+)(1+2+3+7+8+),0.4,0.08,0.67
(2+3+6+8+)(6+7+8+9+),0.4,0.06,0.66
(1+4+6+7+)(1+2+3+7+8+),0.4,0.06,0.66
(1+4+6+7+)(6+7+8+9+),0.4,0.05,0.66
(1+5-)(4+5-),0.4,0.05,0.66
(0+8-)(2+5+),0.4,0.07,0.66
(0+8-)(1+6+),0.4,0.17,0.67
(0+8-)(0+3+5+),0.4,0.11,0.67
(0+8-)(0+1+3+),0.4,0.07,0.66
(0+8-)(4+5-)(0+2+3+),0.4,0.06,0.66
(0+8-)(7+9+),0.4,0.06,0.66
(0+8-)(2+3+8+),0.4,0.07,0.66
(1+5+)(3+5+)(0+2+3+),0.4,0.06,0.66
(1+5+)(0+1+3+),0.4,0.05,0.66
(1+5+)(4+5-)(0+2+3+),0.4,0.05,0.66
(1+5+)(7+9+),0.4,0.06,0.66
(5+9+)(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.05,0.66
(5+9+)(3+4+6+)(1+2+3+8+)(1+3+4+6+)(1+2+3+7+8+),0.4,0.05,0.66
(5+9+)(7+9+),0.4,0.06,0.66
(5+9+)(0+2+3+),0.5,0.06,0.67
(0+1+3+)(0+3+5+),0.4,0.06,0.66
(5+9-)(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.05,0.66
(5+9-)(3+4+6+)(1+2+3+8+)(1+3+4+6+)(1+2+3+7+8+),0.4,0.05,0.66
(5+9-)(7+9+),0.4,0.06,0.66
(5+9-)(0+2+3+),0.5,0.06,0.67
(1+3+6+)(1+3+4+6+)(1+3+7+8+)(1+2+3+7+8+),0.4,0.06,0.66
