patterns,Supp X,Supp Y,Supp Z
(1+4-)(1+4-6+),0.4,0.07,0.66
(1+4-)(2+6-),0.4,0.05,0.66
(1+4-)(1+7-)(2+9+),0.4,0.05,0.66
(1+4+)(1+4-6+),0.4,0.1,0.67
(1+4+)(1+7-)(2+6-)(2+4+7+),0.4,0.06,0.66
(1+4+)(1+7-)(2+9+),0.4,0.05,0.66
(4+8+9+),1.0,0.12,0.69
(2+4-7+),0.5,0.05,0.67
(9+)(1+4-6+),0.4,0.35,0.68
(9+)(6+9-),0.4,0.07,0.66
(9+)(1+7-)(2+6-)(2+4+7+),0.4,0.05,0.66
(9+)(1+7-)(2+9+),0.4,0.05,0.66
(1+2+6+7+),1.0,0.14,0.69
(3+6-)(6+9-),0.4,0.06,0.66
(1+3+6+8+),1.0,0.13,0.69
(1+)(1+4-6+),0.4,0.3,0.67
(1+)(6+9-),0.4,0.06,0.66
(1+)(1+7-)(2+6-)(2+4+7+),0.4,0.05,0.66
(1+)(1+7-)(2+9+),0.4,0.05,0.66
(2+9-)(2+9+),0.4,0.07,0.66
(3+6+)(1+4-6+),0.4,0.1,0.67
(3+6+)(6+9-),0.4,0.07,0.66
(3+6+)(2+4+7+),0.4,0.06,0.66
(1+4-6+),0.9,0.1,0.68
(2+9+)(1+4-6+),0.4,0.08,0.67
(2+9+)(2+4+7+),0.4,0.07,0.66
(2+9+)(6+9-),0.4,0.05,0.66
(2+3+7+)(2+4+7+),0.4,0.1,0.67
(3+4+8+9+),1.0,0.12,0.69
(1+3+6+)(1+4-6+),0.4,0.1,0.67
(1+3+6+)(2+4+7+),0.4,0.08,0.66
(2+)(1+4-6+),0.4,0.28,0.67
(2+)(6+9-),0.4,0.06,0.66
(2+)(1+7-)(2+6-)(2+4+7+),0.4,0.05,0.66
(2+)(1+7-)(2+9+),0.4,0.05,0.66
(3+7-),0.9,0.1,0.68
(3+7+)(1+4-6+),0.4,0.09,0.67
(3+7+)(6+9-),0.4,0.07,0.66
(3+7+)(2+4+7+),0.4,0.06,0.66
(2+3-),0.5,0.05,0.67
(2+3+)(1+4-6+),0.4,0.1,0.67
(2+3+)(2+6-)(2+4+7+),0.4,0.06,0.66
(2+3+)(6+9-),0.4,0.05,0.66
(2+3+)(2+9+),0.5,0.06,0.67
(2+7+8+),1.0,0.14,0.69
(2+4+9+),1.0,0.11,0.69
(4+6+9+),1.0,0.11,0.69
(6+7+)(1+4-6+),0.4,0.12,0.67
(6+7+)(6+9-),0.4,0.08,0.67
(6+7+)(2+4+7+),0.4,0.07,0.66
(2+7+9+),1.0,0.12,0.69
(3+)(1+4-6+),0.4,0.32,0.67
(3+)(6+9-),0.4,0.06,0.66
(3+)(1+7-)(2+6-)(2+4+7+),0.4,0.05,0.66
(3+)(1+7-)(2+9+),0.4,0.05,0.66
(1+6+)(1+4-6+),0.4,0.21,0.67
(1+6+)(6+9-),0.4,0.06,0.66
(1+6+)(1+7-)(2+6-)(2+4+7+),0.4,0.05,0.66
(1+6+)(1+7-)(2+9+),0.4,0.05,0.66
(3+8+)(1+4-6+),0.4,0.19,0.67
(3+8+)(6+9-),0.4,0.12,0.67
(3+8+)(2+4+7+),0.4,0.09,0.67
(3+4+9+),1.0,0.13,0.69
(8+9+)(1+4-6+),0.4,0.11,0.67
(8+9+)(2+4+7+),0.4,0.08,0.67
(3+7+8+),1.0,0.13,0.69
(6+7+8+),1.0,0.12,0.69
(2+4-),0.5,0.05,0.67
(1+7-)(1+4-6+),0.4,0.06,0.66
(1+7-)(2+6-)(2+4+7+),0.4,0.05,0.66
(1+7-)(2+9+),0.4,0.05,0.66
(2+4+)(1+4-6+),0.4,0.1,0.67
(2+4+)(2+6-)(2+4+7+),0.4,0.06,0.66
(2+4+)(2+9+),0.5,0.06,0.67
(6+8+)(1+4-6+),0.4,0.12,0.67
(6+8+)(6+9-),0.4,0.08,0.67
(6+8+)(2+4+7+),0.4,0.07,0.66
(4+6+)(1+4-6+),0.4,0.09,0.67
(4+6+)(6+9-),0.4,0.07,0.66
(4+6+)(2+4+7+),0.4,0.06,0.66
(4+6-)(1+4-6+),0.4,0.08,0.66
(4+6-)(6+9-),0.4,0.06,0.66
(4+6-)(2+4+7+),0.4,0.06,0.66
(1+3+8+)(1+4-6+),0.4,0.09,0.67
(1+3+8+)(2+4+7+),0.4,0.07,0.66
(4+)(1+4-6+),0.4,0.32,0.67
(4+)(6+9-),0.4,0.06,0.66
(4+)(1+7-)(2+6-)(2+4+7+),0.4,0.05,0.66
(4+)(1+7-)(2+9+),0.4,0.05,0.66
(1+6+7+)(2+4+7+),0.4,0.1,0.67
(1+7+)(1+4-6+),0.4,0.09,0.67
(1+7+)(2+6-)(2+4+7+),0.4,0.06,0.66
(1+7+)(2+9+),0.5,0.06,0.67
(3+9-),0.9,0.11,0.68
(3+9+)(1+4-6+),0.4,0.09,0.67
(3+9+)(6+9-),0.4,0.06,0.66
(3+9+)(2+4+7+),0.4,0.06,0.66
(3+4+8+),1.0,0.14,0.69
(2+4+7+),1.0,0.14,0.69
(2+4+7+9+),1.0,0.11,0.69
(6+9-)(1+4-6+),0.4,0.05,0.66
(4+7+)(1+4-6+),0.4,0.09,0.67
(4+7+)(6+9-),0.4,0.07,0.66
(4+7+)(2+4+7+),0.4,0.06,0.66
(1+4+6+)(2+4+7+),0.4,0.1,0.67
(4+7-)(1+4-6+),0.4,0.07,0.66
(4+7-)(6+9-),0.4,0.06,0.66
(4+7-)(2+4+7+),0.4,0.05,0.66
(5+),0.4,0.06,0.66
(1+6+8+)(2+4+7+),0.4,0.1,0.67
(1+8-)(2+6-),0.4,0.05,0.66
(1+8-)(2+9+),0.4,0.05,0.66
(1+8+)(1+4-6+),0.4,0.09,0.67
(1+8+)(2+6-)(2+4+7+),0.4,0.06,0.66
(1+8+)(2+9+),0.5,0.06,0.67
(6+9+)(1+4-6+),0.4,0.1,0.67
(6+9+)(2+4+7+),0.4,0.07,0.66
(2+6-)(1+4-6+),0.4,0.06,0.66
(2+6-)(2+4+7+),0.4,0.06,0.66
(2+6-)(2+9+),0.4,0.05,0.66
(2+3-7+),0.5,0.05,0.67
(4+8+)(1+4-6+),0.4,0.09,0.67
(4+8+)(6+9-),0.4,0.07,0.66
(4+8+)(2+4+7+),0.4,0.06,0.66
(4+8-),0.9,0.1,0.68
(6+)(1+4-6+),0.4,0.31,0.67
(6+)(6+9-),0.4,0.06,0.66
(6+)(1+7-)(2+6-)(2+4+7+),0.4,0.05,0.66
(6+)(1+7-)(2+9+),0.4,0.05,0.66
(1+6+9+)(2+4+7+),0.4,0.08,0.67
(1+9-)(2+9+),0.4,0.06,0.66
(2+6+)(1+4-6+),0.4,0.09,0.67
(2+6+)(2+4+7+),0.4,0.07,0.66
(2+6+)(6+9-),0.4,0.06,0.66
(2+6+)(2+9+),0.5,0.06,0.67
(1+9+)(1+4-6+),0.4,0.08,0.67
(1+9+)(2+6-)(2+4+7+),0.4,0.06,0.66
(1+9+)(2+9+),0.5,0.06,0.67
(1+3-6+),0.5,0.06,0.67
(2+3+7+8+),1.0,0.13,0.69
(3+6+8+),1.0,0.13,0.69
(1+2+)(1+4-6+),0.4,0.12,0.67
(1+2+)(6+9-),0.4,0.05,0.66
(1+2+)(1+7-)(2+6-)(2+4+7+),0.4,0.05,0.66
(1+2+)(1+7-)(2+9+),0.4,0.05,0.66
(2+6+7+),1.0,0.14,0.69
(2+3+8+)(2+4+7+),0.4,0.09,0.67
(4+9+)(1+4-6+),0.4,0.16,0.67
(4+9+)(6+9-),0.4,0.1,0.67
(4+9+)(2+4+7+),0.4,0.08,0.66
(7+)(1+4-6+),0.4,0.31,0.67
(7+)(6+9-),0.4,0.06,0.66
(7+)(1+7-)(2+6-)(2+4+7+),0.4,0.05,0.66
(7+)(1+7-)(2+9+),0.4,0.05,0.66
(3+4+)(1+4-6+),0.4,0.13,0.67
(3+4+)(6+9-),0.4,0.09,0.67
(3+4+)(2+4+7+),0.4,0.07,0.66
(2+7+)(1+4-6+),0.4,0.2,0.67
(2+7+)(2+4+7+),0.4,0.13,0.67
(2+7+)(6+9-),0.4,0.08,0.67
(2+7+)(2+9+),0.5,0.07,0.67
(1+2+6+)(1+4-6+),0.4,0.09,0.67
(1+2+6+)(2+4+7+),0.4,0.07,0.66
(7+8+)(1+4-6+),0.4,0.12,0.67
(7+8+)(2+4+7+),0.4,0.09,0.67
(1+4+6+9+),1.0,0.11,0.69
(1+3-),0.5,0.06,0.67
(3+8+9+),1.0,0.12,0.69
(1+3+)(1+4-6+),0.4,0.1,0.67
(1+3+)(1+7-)(2+6-)(2+4+7+),0.4,0.05,0.66
(1+3+)(1+7-)(2+9+),0.4,0.05,0.66
(4+7+9+),1.0,0.11,0.69
(1+4+9+)(2+4+7+),0.4,0.08,0.67
(8+)(1+4-6+),0.4,0.35,0.68
(8+)(6+9-),0.4,0.07,0.66
(8+)(1+7-)(2+6-)(2+4+7+),0.4,0.05,0.66
(8+)(1+7-)(2+9+),0.4,0.05,0.66
(1+2+7+)(1+4-6+),0.4,0.09,0.67
(1+2+7+)(2+4+7+),0.4,0.07,0.66
(2+8-),0.7,0.08,0.68
(1+3+4+),0.6,0.06,0.67
(2+8+)(1+4-6+),0.4,0.09,0.67
(2+8+)(2+4+7+),0.4,0.07,0.66
(2+8+)(6+9-),0.4,0.06,0.66
(2+8+)(2+9+),0.5,0.06,0.67
(7+9+)(1+4-6+),0.4,0.09,0.67
(7+9+)(2+4+7+),0.4,0.07,0.66
