Year,Week,0-14,15-64,65-74,75-84,85+,0-14.1,15-64.1,65-74.1,75-84.1,85+.1
2007,1,2,143,100,176,115,0.0002006806176679,0.0040866705507677,0.0235973968062237,0.0798877132070445,0.187782945816434
2007,1,1,102,89,186,259,0.0001053981821437,0.0029695627345583,0.0191901055766335,0.0600333579445798,0.179907903448797
2007,1,3,245,189,362,374,0.0001542106111975,0.0035332987401664,0.0212944255550796,0.0682842399433001,0.182258130938163
2007,2,3,124,127,171,138,0.0003010209265019,0.0035436863517146,0.0299686939439041,0.0776181759000262,0.225339534979721
2007,2,2,77,94,202,271,0.0002107963642875,0.0022417287309901,0.0202682013955455,0.0651975177677695,0.188243404766888
2007,2,5,201,221,373,409,0.0002570176853292,0.0028987471296876,0.0248998309400667,0.0703591754111904,0.199314373138259
2007,3,3,144,102,166,107,0.0003010209265019,0.0041152486665073,0.0240693447423482,0.0753486385930079,0.174719784368334
2007,3,2,80,86,142,231,0.0002107963642875,0.0023290688114183,0.0185432480852863,0.0458319184308083,0.160458400373251
2007,3,5,224,188,308,338,0.0002570176853292,0.0032304445624379,0.0211817566367988,0.0580981931009294,0.164714567532351
2007,4,1,109,115,143,101,0.0001003403088339,0.0031150146156201,0.0271370063271572,0.0649087669807237,0.164922413282259
2007,4,1,73,89,151,239,0.0001053981821437,0.0021252752904192,0.0191901055766335,0.0487367583313525,0.166015401251978
2007,4,2,182,204,294,340,0.0001028070741316,0.0026247362069808,0.0229844593292923,0.0554573661417962,0.165689209943785
2007,5,8,130,117,174,120,0.0008027224706717,0.0037151550461524,0.0276089542632817,0.0789798982842372,0.195947421721496
2007,5,3,77,91,164,226,0.0003161945464312,0.0022417287309901,0.0196213439041983,0.0529326381876941,0.156985274824047
2007,5,11,207,208,338,346,0.0005654389077242,0.0029852768947529,0.0234351350024157,0.0637571080133575,0.168613137178087
2007,6,3,160,97,164,131,0.0003010209265019,0.0045724985183415,0.022889474902037,0.0744408236702006,0.213909268712634
2007,6,3,90,73,153,238,0.0003161945464312,0.0026202024128455,0.0157401989561151,0.0493822783092512,0.165320776142137
2007,6,6,250,170,317,369,0.000308421222395,0.0036054068777208,0.0191537161077436,0.0597958675746578,0.179821524909578
2007,7,3,111,114,166,130,0.0003010209265019,0.0031721708470994,0.026901032359095,0.0753486385930079,0.212276373531621
2007,7,3,98,103,162,229,0.0003161945464312,0.0028531092939874,0.022208773869587,0.0522871182097954,0.159069150153569
2007,7,6,209,217,328,359,0.000308421222395,0.0030141201497746,0.0244491552669433,0.0618708030425481,0.174948312852408
2007,8,2,149,132,188,135,0.0002006806176679,0.0042581392452055,0.0311485637842153,0.0853346027438885,0.220440849436683
2007,8,4,97,99,192,258,0.000421592728575,0.0028239959338446,0.0213462972144575,0.061969917878276,0.179213278338956
2007,8,6,246,231,380,393,0.000308421222395,0.0035477203676773,0.0260265201228751,0.071679588890757,0.191517233846786
2007,9,3,142,126,200,154,0.0003010209265019,0.0040580924350281,0.0297327199758418,0.0907814922807324,0.25146585787592
2007,9,3,101,69,183,275,0.0003161945464312,0.0029404493744156,0.0148777223009855,0.0590650779777318,0.191021905206251
2007,9,6,243,195,383,429,0.000308421222395,0.0035044554851447,0.0219704390647647,0.0722454803819998,0.209060797252599
2007,10,7,145,115,178,142,0.0007023821618377,0.004143826782247,0.0271370063271572,0.0807955281298518,0.231871115703771
2007,10,3,101,82,166,245,0.0003161945464312,0.0029404493744156,0.0176807714301567,0.0535781581655928,0.170183151911024
2007,10,10,246,197,344,387,0.0005140353706584,0.0035477203676773,0.0221957769013264,0.0648888909958432,0.188593306612484
2007,11,6,155,122,183,146,0.0006020418530038,0.0044296079396433,0.0287888241035929,0.0830650654368701,0.238402696427821
2007,11,4,79,91,173,281,0.000421592728575,0.0022999554512755,0.0196213439041983,0.0558374780882382,0.195189655865297
2007,11,10,234,213,356,427,0.0005140353706584,0.0033746608375467,0.0239984795938199,0.0671524569608145,0.208086154841165
2007,12,5,143,102,170,118,0.0005017015441698,0.0040866705507677,0.0240693447423482,0.0771642684386225,0.192681631359471
2007,12,2,77,83,155,287,0.0002107963642875,0.0022417287309901,0.0178963905939391,0.0500277982871499,0.199357406524342
2007,12,7,220,185,325,405,0.0003598247594608,0.0031727580523943,0.0208437498819563,0.0613049115513053,0.197365088315391
2007,13,3,141,116,176,134,0.0003010209265019,0.0040295143192884,0.0273729802952195,0.0798877132070445,0.218807954255671
2007,13,3,80,82,175,267,0.0003161945464312,0.0023290688114183,0.0176807714301567,0.056482998066137,0.185464904327524
2007,13,6,221,198,351,401,0.000308421222395,0.0031871796799052,0.0223084458196072,0.0662093044754097,0.195415803492523
2007,14,7,147,112,156,116,0.0007023821618377,0.0042009830137262,0.0264290844229705,0.0708095639789713,0.189415840997447
