Year,Week,0-14,15-64,65-74,75-84,85+,0-14.1,15-64.1,65-74.1,75-84.1,85+.1
2010,1,34,1078,1214,2004,1683,0.0003511561146456,0.0030628581435121,0.0274489477444605,0.077956235975968,0.225197760178281
2010,1,51,791,835,1948,3329,0.0005525143630817,0.0022314654241656,0.0174256219547192,0.0577792264878495,0.20826200014412
2010,1,85,1869,2049,3952,5012,0.0004494302997054,0.0026456808261751,0.0222365700784962,0.0665081707659271,0.21365750172778
2010,2,57,1109,1082,1925,1719,0.0005887028980824,0.003150936624448,0.0244643834098075,0.0748831109050591,0.230014824567121
2010,2,41,687,778,1958,3183,0.0004441782134578,0.0019380742685231,0.016236088479966,0.0580758344266988,0.199128250663483
2010,2,98,1796,1860,3883,4902,0.0005181666984839,0.0025423449779618,0.0201854662498794,0.065346970416016,0.208968290796005
2010,3,44,1045,1045,1755,1609,0.0004544373248355,0.0029690971799352,0.0236278009826699,0.0682700569550019,0.215296016712332
2010,3,40,694,736,1746,3045,0.0004333445984955,0.0019578217501529,0.0153595901301477,0.051787746123093,0.190494980606442
2010,3,84,1739,1781,3501,4654,0.0004441428844147,0.0024616580827815,0.01932812655432,0.0589182960150584,0.198396251604367
2010,4,48,992,976,1687,1458,0.0004957498089115,0.0028185113899481,0.0220676878077376,0.065624835374979,0.195091107748029
2010,4,41,644,690,1672,2847,0.0004441782134578,0.0018167683099401,0.0143996157470135,0.049592847375608,0.178108114872427
2010,4,89,1636,1666,3359,4305,0.000470579960868,0.0023158554476311,0.0180801004152146,0.0565285793529224,0.183518664193554
2010,5,43,967,914,1635,1441,0.0004441092038165,0.0027474803569353,0.0206658469838854,0.0636020188726086,0.192816382897744
2010,5,47,658,674,1488,2648,0.0005091799032322,0.0018562632731997,0.0140657116137494,0.0441352613007803,0.165658689210463
2010,5,90,1625,1588,3123,4089,0.0004758673761586,0.0023002842924209,0.0172336131208648,0.0525569375764146,0.17431075909116
2010,6,59,953,963,1611,1346,0.0006093591401203,0.0027077029784481,0.021773753441446,0.06266841125613,0.180104685204971
2010,6,48,594,633,1391,2518,0.0005200135181946,0.0016757148697274,0.0132100822722602,0.0412581642939418,0.157525898577019
2010,6,107,1547,1596,3002,3864,0.0005657534360997,0.0021898706463847,0.0173204323305417,0.0505206297164254,0.164719191276166
2010,7,43,976,927,1521,1373,0.0004441092038165,0.0027730515288199,0.020959781350177,0.059167382694335,0.183717483496601
2010,7,45,629,633,1494,2461,0.0004875126733074,0.0017744522778763,0.0132100822722602,0.0443132260640899,0.153959982683893
2010,7,88,1605,1560,3015,3834,0.0004652925455773,0.0022719731011295,0.0169297458869957,0.0507394065939449,0.1634403155675
2010,8,50,1002,948,1551,1334,0.0005164060509494,0.0028469238031532,0.0214345984034173,0.0603343922149333,0.178498997075358
2010,8,50,653,652,1555,2499,0.0005416807481193,0.0018421579291784,0.0136065934305113,0.0461225344910708,0.156337259945977
2010,8,100,1655,1600,3106,3833,0.0005287415290652,0.0023427510793579,0.0173638419353802,0.0522708447365814,0.163397686377211
2010,9,49,978,940,1529,1288,0.0005060779299304,0.0027787340114609,0.0212537157164686,0.0594785852331612,0.172343859245173
2010,9,37,600,607,1474,2477,0.0004008437536083,0.0016926412825529,0.0126674880557061,0.0437200101863913,0.154960941531086
2010,9,86,1578,1547,3003,3765,0.000454717714996,0.0022337529928862,0.0167886646712707,0.0505374587070038,0.160498901437568
2010,10,47,940,912,1446,1297,0.0004854216878925,0.0026707668412814,0.0206206263121483,0.0562498588928392,0.173548125342383
2010,10,26,653,640,1471,2356,0.000281673989022,0.0018421579291784,0.0133561653305633,0.0436310278047365,0.147391190249188
2010,10,73,1593,1552,2917,3653,0.0003859813162176,0.0022549863863547,0.0168429266773188,0.0490901655172595,0.155724432125216
2010,11,48,964,922,1468,1247,0.0004957498089115,0.0027389566329737,0.0208467296708341,0.0571056658746113,0.16685775813566
2010,11,29,637,650,1427,2334,0.0003141748339092,0.0017970208283103,0.0135648554138533,0.0423259528737994,0.146014871834298
2010,11,77,1601,1572,2895,3581,0.0004071309773802,0.0022663108628713,0.017059974701511,0.0487199277245342,0.152655130424418
2010,12,54,910,923,1488,1205,0.0005577185350254,0.0025855296016661,0.0208693400067027,0.0578836722216768,0.161237849682013
2010,12,39,620,643,1382,2349,0.0004225109835331,0.001749062658638,0.0134187723555503,0.0409912171489774,0.146953270753541
2010,12,93,1530,1566,2870,3554,0.0004917296220306,0.002165806133787,0.0169948602942533,0.0482992029600736,0.151504142286618
2010,13,36,758,749,1236,1067,0.0003718123566836,0.0021536609209482,0.0169351415655691,0.0480807922486509,0.142772436191459
2010,13,30,507,507,1149,1904,0.0003250084488716,0.0014302818837572,0.0105805872228056,0.034080252173788,0.119114102815982
2010,13,66,1265,1256,2385,2971,0.000348969409183,0.0017906828491768,0.0136306159192734,0.0401371425295385,0.126651324348211
2010,14,44,940,949,1538,1276,0.0004544373248355,0.0026707668412814,0.0214572087392859,0.0598286880893407,0.170738171115559
2010,14,41,590,654,1420,2277,0.0004441782134578,0.0016644305945104,0.0136483314471693,0.0421183273166049,0.142448955941172
2010,14,85,1530,1603,2958,3553,0.0004494302997054,0.002165806133787,0.017396399139009,0.0497801541309748,0.151461513096329
2010,15,46,976,968,1611,1193,0.0004750935668735,0.0027730515288199,0.021886805120789,0.06266841125613,0.1596321615524
2010,15,38,621,678,1447,2303,0.0004116773685707,0.0017518837274423,0.0141491876470654,0.0429191687514981,0.144075514067861
2010,15,84,1597,1646,3058,3496,0.0004441428844147,0.002260648624613,0.0178630523910223,0.0514630531888171,0.149031649249864
2010,16,51,986,898,1494,1200,0.0005267341719684,0.002801463942025,0.0203040816099881,0.0581170741257965,0.160568812961341
2010,16,46,590,627,1327,2229,0.0004983462882698,0.0016644305945104,0.0130848682222862,0.0393598734853061,0.139446079399593
2010,16,97,1576,1525,2821,3429,0.0005128792831932,0.0022309218737571,0.0165499118446592,0.0474745824217309,0.14617549350051
2010,17,45,960,912,1523,1196,0.0004647654458545,0.0027275916676917,0.0206206263121483,0.0592451833290415,0.160033583584803
2010,17,33,585,652,1334,2262,0.0003575092937587,0.0016503252504891,0.0136065934305113,0.0395674990425006,0.141510557021929
2010,17,78,1545,1564,2857,3458,0.0004124183926708,0.0021870395272555,0.0169731554918341,0.0480804260825541,0.147411740018887
