Year,Week,0-14,15-64,65-74,75-84,85+,0-14.1,15-64.1,65-74.1,75-84.1,85+.1
2000,1,10.0,674.0,507.0,487.0,271.0,0.0005920964099835,0.0102872462498839,0.0706941070492836,0.155984544077671,0.412451899026554
2000,1,11.0,317.0,380.0,647.0,657.0,0.0006829074453187,0.0046455843047365,0.0353339738688991,0.10753750581207,0.385014545106622
2000,1,21.0,991.0,887.0,1134.0,928.0,0.0006364264793268,0.0074090765201654,0.0494804676942639,0.124088896650329,0.392642131424483
2000,2,11.0,630.0,449.0,412.0,220.0,0.0006513060509818,0.0096156752780814,0.0626068127517325,0.131962283696099,0.334831799947756
2000,2,15.0,279.0,351.0,569.0,522.0,0.0009312374254346,0.0040887003817713,0.0326374337578515,0.0945731697172607,0.305901967344987
2000,2,26.0,909.0,800.0,981.0,742.0,0.0007879565934522,0.0067960146890317,0.0446272538392459,0.107346743927666,0.313944462841558
2000,3,12.0,580.0,446.0,379.0,201.0,0.0007105156919802,0.0088525264464876,0.062188504425997,0.121392489128208,0.305914508134086
2000,3,5.0,279.0,326.0,491.0,470.0,0.0003104124751448,0.0040887003817713,0.030312830213845,0.0816088336224516,0.275428974429395
2000,3,17.0,859.0,772.0,870.0,671.0,0.0005152023880264,0.0064221964993159,0.0430652999548723,0.0952004762661257,0.283903954941625
2000,4,16.0,552.0,448.0,355.0,186.0,0.0009473542559736,0.0084251631007951,0.062467376643154,0.113705365806105,0.283085067228557
2000,4,8.0,254.0,278.0,454.0,421.0,0.0004966599602318,0.0037223293798204,0.0258495914093525,0.075459084449273,0.246714038797394
2000,4,24.0,806.0,726.0,809.0,607.0,0.000727344547802,0.0060259492182173,0.0404992328591157,0.088525500344018,0.256825187257178
2000,5,13.0,549.0,385.0,308.0,190.0,0.0007697253329785,0.0083793741708995,0.0536829018027105,0.0986514159669867,0.289172918136698
2000,5,11.0,241.0,300.0,428.0,385.0,0.0006829074453187,0.003531816458806,0.0278952425280782,0.0711376390843367,0.225617351394291
2000,5,24.0,790.0,685.0,736.0,575.0,0.000727344547802,0.0059063273975083,0.0382120860998543,0.0805374144044465,0.243285803414954
2000,6,13.0093795093795,538.388167388167,355.256132756133,322.232323232323,158.113997113997,0.0007702806903616,0.0082174060177237,0.049535532700151,0.103209983627274,0.240643610230063
2000,6,8.0,251.0,267.0,425.0,357.0,0.0004966599602318,0.0036783648595863,0.0248267658499896,0.0706390107729978,0.209208816747434
2000,6,21.0093795093795,789.388167388167,622.256132756133,747.232323232323,515.113997113997,0.0006367107349521,0.005901753114321,0.0347119779869193,0.0817665207507594,0.217947691544639
2000,7,14.0,490.0,356.0,284.0,175.0,0.0008289349739769,0.0074788585496188,0.0496392546539349,0.0909642926448839,0.266343477231169
2000,7,7.0,234.0,266.0,420.0,348.0,0.0004345774652028,0.0034292325782598,0.0247337817082294,0.0698079635874332,0.203934644896658
2000,7,21.0,724.0,622.0,704.0,523.0,0.0006364264793268,0.0054128873870835,0.0346976898600137,0.0770357876912098,0.221284304671341
2000,8,16.0,511.0,341.0,281.0,153.0,0.0009473542559736,0.0077993810588882,0.0475477130252578,0.090003402229621,0.232860297236394
2000,8,12.0,249.0,276.0,407.0,350.0,0.0007449899403477,0.0036490551794303,0.025663623125832,0.067647240904965,0.20510668308572
2000,8,28.0,760.0,617.0,688.0,503.0,0.0008485686391024,0.0056820364836788,0.0344187695235184,0.0752849743345913,0.212822189769951
2000,9,7.0,561.0,403.0,289.0,155.0,0.0004144674869884,0.008562529890482,0.0561927517571229,0.092565776670322,0.235904222690464
2000,9,12.0,229.0,271.0,369.0,343.0,0.0007449899403477,0.0033559583778696,0.0251987024170307,0.0613312822946734,0.201004549424005
2000,9,19.0,790.0,674.0,658.0,498.0,0.0005758144336766,0.0059063273975083,0.0375984613595647,0.0720021992909318,0.210706661044604
2000,10,19.0,562.0,375.0,339.0,152.0,0.0011249831789686,0.0085777928671138,0.0522885407169258,0.108580616924703,0.231338334509358
2000,10,12.0,231.0,291.0,422.0,322.0,0.0007449899403477,0.0033852680580257,0.0270583852522359,0.070140382461659,0.188698148438862
2000,10,31.0,793.0,666.0,761.0,474.0,0.0009394867075776,0.0059287564888912,0.0371521888211722,0.0832730602741628,0.200552123162936
2000,11,11.0,534.0,331.0,307.0,148.0,0.0006513060509818,0.0081504295214213,0.0461533519394731,0.0983311191618991,0.225250483601217
2000,11,14.0,256.0,277.0,386.0,323.0,0.0008691549304056,0.0037516390599765,0.0257566072675922,0.0641568427255933,0.189284167533393
2000,11,25.0,790.0,608.0,693.0,471.0,0.0007576505706271,0.0059063273975083,0.0339167129178269,0.0758321035085346,0.199282805927728
2000,12,16.0,535.0,359.0,278.0,134.0,0.0009473542559736,0.0081656924980532,0.0500575629796703,0.0890425118143582,0.203943005422724
2000,12,20.0,239.0,325.0,364.0,318.0,0.0012416499005795,0.0035025067786499,0.0302198460720848,0.0605002351091087,0.186354072060739
2000,12,36.0,774.0,684.0,642.0,452.0,0.001091016821703,0.0057867055767992,0.0381563020325552,0.0702513859343134,0.191243796771407
2000,13,9.00695517774343,521.402627511592,346.267387944359,270.208655332303,148.114374034003,0.0005332985825624,0.0079581561195077,0.0482821771025923,0.0865469690099583,0.225424556617911
2000,13,12.0,240.0,262.0,396.0,320.0,0.0007449899403477,0.003517161618728,0.0243618451411883,0.0658189370967227,0.187526110249801
2000,13,21.0069551777434,761.402627511592,608.267387944359,666.208655332303,468.114374034003,0.0006366372631022,0.0056925230372234,0.03393162890491,0.0729004382531614,0.198061881003393
2000,14,15.0,531.0,363.0,295.0,152.0,0.0008881446149752,0.0081046405915257,0.0506153074139841,0.0944875575008477,0.231338334509358
2000,14,14.0,260.0,262.0,367.0,332.0,0.0008691549304056,0.0038102584202886,0.0243618451411883,0.0609988634204476,0.194558339384168
2000,14,29.0,791.0,625.0,662.0,484.0,0.0008788746619274,0.0059138037613026,0.0348650420619109,0.0724399026300864,0.204783180613631
2000,15,16.0,531.0,386.0,278.0,155.0,0.0009473542559736,0.0081046405915257,0.0538223379112889,0.0890425118143582,0.235904222690464
2000,15,8.0,203.0,242.0,382.0,344.0,0.0004966599602318,0.0029749325358407,0.0225021623059831,0.0634920049771416,0.201590568518536
2000,15,24.0,734.0,628.0,660.0,499.0,0.000727344547802,0.0054876510250267,0.035032394263808,0.0722210509605091,0.211129766789673
2000,16,16.0118782479584,519.385300668151,364.270230141054,305.226429101707,143.106161841128,0.0009480575627709,0.0079273657070374,0.0507924233618518,0.0977630500695796,0.217802244331272
2000,16,12.0,242.0,262.0,371.0,304.0,0.0007449899403477,0.003546471298884,0.0243618451411883,0.0616637011688993,0.178149804737311
2000,16,28.0118782479584,761.385300668151,626.270230141054,676.226429101707,447.106161841128,0.0008489286215561,0.0056923934954384,0.0349359006655847,0.0739966415106023,0.189173185730948
2000,17,14.0,552.0,316.0,297.0,130.0,0.0008289349739769,0.0084251631007951,0.0440618103107961,0.0951281511110229,0.197855154514583
2000,17,11.0,238.0,244.0,367.0,287.0,0.0006829074453187,0.0034878519385719,0.0226881305895036,0.0609988634204476,0.16818748013029
2000,17,25.0,790.0,560.0,664.0,417.0,0.0007576505706271,0.0059063273975083,0.0312390776874721,0.0726587542996637,0.176435095693975
2000,18,13.0101483216237,520.405932864949,332.259172521468,262.204527712724,154.120218579235,0.0007703262114586,0.0079429435924069,0.0463289260558955,0.0839832725058938,0.234565228160122
2000,18,7.0,241.0,267.0,366.0,298.0,0.0004345774652028,0.003531816458806,0.0248267658499896,0.0608326539833346,0.174633690170127
2000,18,20.0101483216237,761.405932864949,599.259172521468,628.204527712724,452.120218579235,0.0006064280117684,0.0056925477492476,0.033429114009515,0.0687418048629746,0.191294661942946
2000,19,14.0,512.0,335.0,292.0,150.0,0.0008289349739769,0.0078146440355201,0.046711096373787,0.0935266670855848,0.228294409055288
2000,19,19.0,246.0,237.0,379.0,310.0,0.0011795674055505,0.0036050906591962,0.0220372415971818,0.0629933766658028,0.181665919304494
2000,19,33.0,758.0,572.0,671.0,460.0,0.0010000987532278,0.0056670837560902,0.0319084864950608,0.0734247351431843,0.194628642731963
2000,20,13.0,521.0,346.0,275.0,119.0,0.0007697253329785,0.007952010825207,0.0482448935681502,0.0880816213990953,0.181113564517195
2000,20,8.0,231.0,282.0,341.0,284.0,0.0004966599602318,0.0033852680580257,0.0262215279763935,0.0566774180555112,0.166429422846698
2000,20,21.0,752.0,628.0,616.0,403.0,0.0006364264793268,0.0056222255733243,0.035032394263808,0.0674063142298085,0.170511615263003
2000,21,18.0,536.0,361.0,286.0,117.0,0.0010657735379703,0.0081809554746851,0.0503364351968272,0.0916048862550591,0.178069639063125
2000,21,13.0,235.0,242.0,356.0,279.0,0.0008070724353766,0.0034438874183378,0.0225021623059831,0.0591705596122053,0.163499327374045
2000,21,31.0,771.0,603.0,642.0,396.0,0.0009394867075776,0.0057642764854163,0.0336377925813316,0.0702513859343134,0.167549875047516
2000,22,16.0,511.0,339.0,282.0,122.0,0.0009473542559736,0.0077993810588882,0.0472688408081009,0.0903236990347086,0.185679452698301
2000,22,7.0,201.0,285.0,335.0,295.0,0.0004345774652028,0.0029456228556847,0.0265004804016743,0.0556801614328336,0.172875632886535
2000,22,23.0,712.0,624.0,617.0,417.0,0.0006970385249769,0.0053231710215517,0.0348092579946118,0.0675157400645972,0.176435095693975
2000,23,11.0,591.0,370.0,305.0,144.0,0.0006513060509818,0.0090204191894382,0.0515913601740334,0.0976905255517239,0.219162632693076
2000,23,17.0,235.0,245.0,386.0,309.0,0.0010554024154925,0.0034438874183378,0.0227811147312639,0.0641568427255933,0.181079900209964
2000,23,28.0,826.0,615.0,691.0,453.0,0.0008485686391024,0.0061754764941036,0.0343072013889203,0.0756132518389573,0.191666902516477
2000,24,12.0,532.0,359.0,327.0,147.0,0.0007105156919802,0.0081199035681576,0.0500575629796703,0.104737055263651,0.223728520874182
2000,24,11.0,259.0,272.0,464.0,352.0,0.0006829074453187,0.0037956035802106,0.0252916865587909,0.0771211788204024,0.206278721274781
2000,24,23.0,791.0,631.0,791.0,499.0,0.0006970385249769,0.0059138037613026,0.0351997464657052,0.0865558353178223,0.211129766789673
2000,25,14.0105421686747,581.4375,324.243975903614,282.21234939759,127.09563253012,0.0008295591719994,0.0088744669753959,0.0452113182300108,0.0903917138683191,0.193434815479813
2000,25,10.0,260.0,271.0,346.0,292.0,0.0006208249502897,0.0038102584202886,0.0251987024170307,0.0575084652410759,0.171117575602943
2000,25,24.0105421686747,841.4375,595.243975903614,628.21234939759,419.09563253012,0.0007276640390065,0.0062908928601783,0.0332051300111657,0.0687426607573705,0.177321769857024
2000,26,16.0,511.0,295.0,258.0,117.0,0.0009473542559736,0.0077993810588882,0.0411336520306483,0.0826365757126058,0.178069639063125
2000,26,6.0,208.0,217.0,367.0,256.0,0.0003724949701738,0.0030482067362309,0.0201775587619766,0.0609988634204476,0.150020888199841
2000,26,22.0,719.0,512.0,625.0,373.0,0.0006667325021518,0.0053755055681119,0.0285614424571174,0.0683911467429064,0.157818442910918
2000,27,12.0,553.0,353.0,277.0,144.0,0.0007105156919802,0.008440426077427,0.0492209463281995,0.0887222150092705,0.219162632693076
2000,27,14.0,246.0,263.0,381.0,325.0,0.0008691549304056,0.0036050906591962,0.0244548292829486,0.0633257955400287,0.190456205722454
2000,27,26.0,799.0,616.0,658.0,469.0,0.0007879565934522,0.0059736146716571,0.0343629854562193,0.0720021992909318,0.198436594437589
2000,28,12.0,512.0,306.0,247.0,101.0,0.0007105156919802,0.0078146440355201,0.0426674492250114,0.079113310856642,0.153718235430561
2000,28,15.0,198.0,237.0,328.0,251.0,0.0009312374254346,0.0029016583354506,0.0220372415971818,0.054516695373043,0.147090792727187
2000,28,27.0,710.0,543.0,575.0,352.0,0.0008182626162773,0.0053082182939631,0.0302907485433882,0.0629198550034739,0.148933222264459
2000,29,14.0,527.0,308.0,276.0,121.0,0.0008289349739769,0.0080435886849982,0.0429463214421684,0.0884019182041829,0.184157489971266
2000,29,8.0,234.0,248.0,366.0,245.0,0.0004966599602318,0.0034292325782598,0.0230600671565447,0.0608326539833346,0.143574678160004
2000,29,22.0,761.0,556.0,642.0,366.0,0.0006667325021518,0.0056895128474731,0.0310159414182759,0.0702513859343134,0.154856702695432
2000,30,9.0,462.0,357.0,295.0,127.0,0.0005328867689851,0.0070514952039263,0.0497786907625133,0.0944875575008477,0.193289266333477
2000,30,12.0,197.0,292.0,387.0,293.0,0.0007449899403477,0.0028870034953725,0.0271513693939961,0.0643230521627063,0.171703594697474
2000,30,21.0,659.0,649.0,682.0,420.0,0.0006364264793268,0.0049269237404531,0.0362038596770882,0.0746284193258594,0.177704412929184
2000,31,16.0,535.0,307.0,269.0,114.0,0.0009473542559736,0.0081656924980532,0.0428068853335899,0.0861598405685696,0.173503750882019
2000,31,9.0,206.0,263.0,377.0,297.0,0.0005587424552607,0.0030188970560748,0.0244548292829486,0.0626609577915769,0.174047671075596
2000,31,25.0,741.0,570.0,646.0,411.0,0.0007576505706271,0.0055399855715869,0.0317969183604627,0.070689089273468,0.173896461223559
2000,32,13.0,493.0,329.0,274.0,119.0,0.0007697253329785,0.0075246474795144,0.0458744797223162,0.0877613245940077,0.181113564517195
2000,32,13.0,222.0,253.0,352.0,283.0,0.0008070724353766,0.0032533744973234,0.023524987865346,0.0585057218637535,0.165843403752167
2000,32,26.0,715.0,582.0,626.0,402.0,0.0007879565934522,0.0053456001129347,0.0324663271680514,0.068500572577695,0.170088509517933
2000,33,17.0,520.0,341.0,298.0,137.0,0.0010065638969719,0.0079367478485751,0.0475477130252578,0.0954484479161105,0.20850889360383
2000,33,7.0,220.0,281.0,418.0,313.0,0.0004345774652028,0.0032240648171673,0.0261285438346333,0.0694755447132073,0.183423976588086
2000,33,24.0,740.0,622.0,716.0,450.0,0.000727344547802,0.0055325092077925,0.0346976898600137,0.0783488977086736,0.190397585281268
2000,34,10.0,548.0,373.0,270.0,126.0,0.0005920964099835,0.0083641111942676,0.0520096684997688,0.0864801373736572,0.191767303606442
2000,34,10.0,223.0,257.0,378.0,311.0,0.0006208249502897,0.0032680293374014,0.023896924432387,0.0628271672286898,0.182251938399025
2000,34,20.0,771.0,630.0,648.0,437.0,0.0006061204565017,0.0057642764854163,0.0351439623984061,0.0709079409430453,0.184897210595365
2000,35,19.0,447.0,305.0,249.0,119.0,0.0011249831789686,0.0068225505544482,0.042528013116433,0.0797539044668172,0.181113564517195
2000,35,7.0,224.0,234.0,306.0,249.0,0.0004345774652028,0.0032826841774794,0.021758289171901,0.0508600877565585,0.145918754538126
2000,35,26.0,671.0,539.0,555.0,368.0,0.0007879565934522,0.0050166401059849,0.0300676122741919,0.0607313383077009,0.155702914185571
2000,36,7.0,501.0,313.0,248.0,104.0,0.0004144674869884,0.0076467512925694,0.0436435019850607,0.0794336076617296,0.158284123611666
2000,36,11.0,237.0,243.0,326.0,279.0,0.0006829074453187,0.0034731970984939,0.0225951464477434,0.0541842764988172,0.163499327374045
2000,36,18.0,738.0,556.0,574.0,383.0,0.0005455084108515,0.0055175564802039,0.0310159414182759,0.0628104291686852,0.162049500361613
2000,37,13.0,518.0,341.0,305.0,157.0,0.0007697253329785,0.0079062218953113,0.0475477130252578,0.0976905255517239,0.238948148144535
2000,37,10.0,238.0,263.0,362.0,272.0,0.0006208249502897,0.0034878519385719,0.0244548292829486,0.0601678162348829,0.159397193712331
2000,37,23.0,756.0,604.0,667.0,429.0,0.0006970385249769,0.0056521310285016,0.0336935766486307,0.0729870318040297,0.181512364634809
2000,38,15.0,485.0,358.0,261.0,123.0,0.0008881446149752,0.0074025436664594,0.0499181268710918,0.0835974661278686,0.187201415425336
2000,38,14.0,238.0,279.0,344.0,302.0,0.0008691549304056,0.0034878519385719,0.0259425755511128,0.05717604636685,0.176977766548249
2000,38,29.0,723.0,637.0,605.0,425.0,0.0008788746619274,0.0054054110232892,0.0355344508694996,0.0662026300471334,0.179819941654531
2000,39,16.0,460.0,349.0,284.0,150.0,0.0009473542559736,0.0070209692506626,0.0486632018938856,0.0909642926448839,0.228294409055288
2000,39,11.0,238.0,277.0,368.0,282.0,0.0006829074453187,0.0034878519385719,0.0257566072675922,0.0611650728575605,0.165257384657637
2000,39,27.0,698.0,626.0,652.0,432.0,0.0008182626162773,0.0052185019284313,0.0349208261292099,0.0713456442821999,0.182781681870018
2000,40,10.0,517.0,331.0,285.0,163.0,0.0005920964099835,0.0078909589186795,0.0461533519394731,0.0912845894499715,0.248079924506746
2000,40,7.0,218.0,291.0,404.0,340.0,0.0004345774652028,0.0031947551370112,0.0270583852522359,0.0671486125936262,0.199246492140413
2000,40,17.0,735.0,622.0,689.0,503.0,0.0005152023880264,0.005495127388821,0.0346976898600137,0.07539440016938,0.212822189769951
2000,41,15.0,539.0,307.0,281.0,136.0,0.0008881446149752,0.0082267444045807,0.0428068853335899,0.090003402229621,0.206986930876794
2000,41,5.0,251.0,281.0,406.0,300.0,0.0003104124751448,0.0036783648595863,0.0261285438346333,0.0674810314678521,0.175805728359188
2000,41,20.0,790.0,588.0,687.0,436.0,0.0006061204565017,0.0059063273975083,0.0328010315718457,0.0751755484998027,0.184474104850296
2000,42,9.0,513.0,340.0,281.0,116.0,0.0005328867689851,0.007829907012152,0.0474082769166794,0.090003402229621,0.176547676336089
2000,42,12.0,225.0,230.0,377.0,287.0,0.0007449899403477,0.0032973390175575,0.02138635260486,0.0626609577915769,0.16818748013029
2000,42,21.0,738.0,570.0,658.0,403.0,0.0006364264793268,0.0055175564802039,0.0317969183604627,0.0720021992909318,0.170511615263003
2000,43,14.0,515.0,348.0,327.0,149.0,0.0008289349739769,0.0078604329654157,0.0485237657853071,0.104737055263651,0.226772446328253
2000,43,12.0,288.0,258.0,387.0,319.0,0.0007449899403477,0.0042205939424736,0.0239899085741473,0.0643230521627063,0.18694009115527
2000,43,26.0,803.0,606.0,714.0,468.0,0.0007879565934522,0.0060035201268343,0.0338051447832288,0.0781300460390962,0.198013488692519
2000,44,19.0149724192277,478.376674546887,332.261623325453,307.241922773838,133.104806934594,0.001125869690536,0.0073014520048433,0.0463292677864661,0.0984086062534373,0.202580554943676
2000,44,10.0,239.0,255.0,406.0,328.0,0.0006208249502897,0.0035025067786499,0.0237109561488665,0.0674810314678521,0.192214263006046
2000,44,29.0149724192277,717.376674546887,587.261623325453,713.241922773838,461.104806934594,0.0008793284164063,0.0053633689964679,0.0327598419177408,0.0780470928057892,0.195096092893183
2000,45,11.0,502.0,321.0,290.0,153.0,0.0006513060509818,0.0076620142692013,0.0447589908536885,0.0928860734754096,0.232860297236394
2000,45,9.0,224.0,262.0,393.0,297.0,0.0005587424552607,0.0032826841774794,0.0243618451411883,0.0653203087853839,0.174047671075596
2000,45,20.0,726.0,583.0,683.0,450.0,0.0006061204565017,0.0054278401146721,0.0325221112353505,0.0747378451606481,0.190397585281268
2000,46,18.0,506.0,330.0,282.0,118.0,0.0010657735379703,0.0077230661757288,0.0460139158308947,0.0903236990347086,0.17959160179016
