Year,Week,0-14,15-64,65-74,75-84,85+,0-14.1,15-64.1,65-74.1,75-84.1,85+.1
2000,1,0,7,2,6,8,0.0,0.0039287860589939,0.0118677977353379,0.0662063286843728,0.349017783626289
2000,1,0,5,0,11,9,0.0,0.0028716771429039,0.0,0.0931288820207162,0.213855370167562
2000,1,0,12,2,17,17,0.0,0.0034063197448626,0.0056780044198464,0.0814403798964315,0.261514380897259
2000,2,0,2,3,4,5,0.0,0.0011225103025697,0.0178016966030068,0.0441375524562485,0.218136114766431
2000,2,0,4,5,7,13,0.0,0.0022973417143231,0.0272163400942825,0.059263834013183,0.308902201353145
2000,2,0,6,8,11,18,0.0,0.0017031598724313,0.0227120176793859,0.0526967164035733,0.276897579773568
2000,3,0,4,8,6,6,0.0,0.0022450206051394,0.0474711909413516,0.0662063286843728,0.261763337719717
2000,3,0,4,2,9,10,0.0,0.0022973417143231,0.010886536037713,0.0761963580169496,0.237617077963958
2000,3,0,8,10,15,16,0.0,0.0022708798299084,0.0283900220992323,0.0718591587321454,0.24613118202095
2000,4,1,6,5,11,1,0.0015542025682509,0.0033675309077091,0.0296694943383447,0.121378269254683,0.0436272229532862
2000,4,0,0,3,7,3,0.0,0.0,0.0163298040565695,0.059263834013183,0.0712851233891873
2000,4,1,6,8,18,4,0.0007942300030486,0.0017031598724313,0.0227120176793859,0.0862309904785745,0.0615327955052374
2000,5,1,3,6,6,4,0.0015542025682509,0.0016837654538545,0.0356033932060137,0.0662063286843728,0.174508891813145
2000,5,1,3,1,9,7,0.0016242616734349,0.0017230062857423,0.0054432680188564,0.0761963580169496,0.16633195457477
2000,5,2,6,7,15,11,0.0015884600060972,0.0017031598724313,0.0198730154694626,0.0718591587321454,0.169215187639403
2000,6,0,1,2,0,2,0.0,0.0005612551512848,0.0118677977353379,0.0,0.0872544459065723
2000,6,0,2,3,8,4,0.0,0.0011486708571616,0.0163298040565695,0.0677300960150663,0.095046831185583
2000,6,0,3,5,8,6,0.0,0.0008515799362156,0.0141950110496162,0.0383248846571442,0.0922991932578561
2000,7,0,4,3,5,4,0.0,0.0022450206051394,0.0178016966030068,0.0551719405703106,0.174508891813145
2000,7,1,2,2,5,5,0.0016242616734349,0.0011486708571616,0.010886536037713,0.0423313100094165,0.118808538981979
2000,7,1,6,5,10,9,0.0007942300030486,0.0017031598724313,0.0141950110496162,0.0479061058214303,0.138448789886784
2000,8,1,6,6,7,6,0.0015542025682509,0.0033675309077091,0.0356033932060137,0.0772407167984349,0.261763337719717
2000,8,0,0,2,3,8,0.0,0.0,0.010886536037713,0.0253987860056499,0.190093662371166
2000,8,1,6,8,10,14,0.0007942300030486,0.0017031598724313,0.0227120176793859,0.0479061058214303,0.215364784268331
2000,9,0,7,4,12,6,0.0,0.0039287860589939,0.0237355954706758,0.132412657368746,0.261763337719717
2000,9,0,1,3,8,12,0.0,0.0005743354285807,0.0163298040565695,0.0677300960150663,0.285140493556749
2000,9,0,8,7,20,18,0.0,0.0022708798299084,0.0198730154694626,0.0958122116428606,0.276897579773568
2000,10,0,2,5,5,5,0.0,0.0011225103025697,0.0296694943383447,0.0551719405703106,0.218136114766431
2000,10,0,1,5,4,6,0.0,0.0005743354285807,0.0272163400942825,0.0338650480075332,0.142570246778375
2000,10,0,3,10,9,11,0.0,0.0008515799362156,0.0283900220992323,0.0431154952392873,0.169215187639403
2000,11,0,3,5,5,4,0.0,0.0016837654538545,0.0296694943383447,0.0551719405703106,0.174508891813145
2000,11,0,4,4,4,8,0.0,0.0022973417143231,0.021773072075426,0.0338650480075332,0.190093662371166
2000,11,0,7,9,9,12,0.0,0.0019870198511698,0.0255510198893091,0.0431154952392873,0.184598386515712
2000,12,0,3,4,7,0,0.0,0.0016837654538545,0.0237355954706758,0.0772407167984349,0.0
2000,12,0,3,4,5,7,0.0,0.0017230062857423,0.021773072075426,0.0423313100094165,0.16633195457477
2000,12,0,6,8,12,7,0.0,0.0017031598724313,0.0227120176793859,0.0574873269857164,0.107682392134165
2000,13,0,5,6,3,1,0.0,0.0028062757564242,0.0356033932060137,0.0331031643421864,0.0436272229532862
2000,13,0,2,2,2,3,0.0,0.0011486708571616,0.010886536037713,0.0169325240037666,0.0712851233891873
2000,13,0,7,8,5,4,0.0,0.0019870198511698,0.0227120176793859,0.0239530529107152,0.0615327955052374
2000,14,0,3,2,2,4,0.0,0.0016837654538545,0.0118677977353379,0.0220687762281243,0.174508891813145
2000,14,0,1,2,2,7,0.0,0.0005743354285807,0.010886536037713,0.0169325240037666,0.16633195457477
2000,14,0,4,4,4,11,0.0,0.0011354399149542,0.0113560088396929,0.0191624423285721,0.169215187639403
2000,15,0,6,2,5,3,0.0,0.0033675309077091,0.0118677977353379,0.0551719405703106,0.130881668859858
2000,15,1,4,3,5,5,0.0016242616734349,0.0022973417143231,0.0163298040565695,0.0423313100094165,0.118808538981979
2000,15,1,10,5,10,8,0.0007942300030486,0.0028385997873855,0.0141950110496162,0.0479061058214303,0.123065591010475
2000,16,0,3,2,8,3,0.0,0.0016837654538545,0.0118677977353379,0.088275104912497,0.130881668859858
2000,16,0,2,2,7,6,0.0,0.0011486708571616,0.010886536037713,0.059263834013183,0.142570246778375
2000,16,0,5,4,15,9,0.0,0.0014192998936927,0.0113560088396929,0.0718591587321454,0.138448789886784
2000,17,0,7,5,2,1,0.0,0.0039287860589939,0.0296694943383447,0.0220687762281243,0.0436272229532862
2000,17,0,3,3,3,5,0.0,0.0017230062857423,0.0163298040565695,0.0253987860056499,0.118808538981979
