Year,Week,0-14,15-64,65-74,75-84,85+,0-14.1,15-64.1,65-74.1,75-84.1,85+.1
2000,1,7,166,102,53,46,0.0010183935778482,0.0077483676367286,0.0457954880910577,0.0685829695082009,0.226292680380983
2000,1,2,58,78,114,133,0.0003051978354634,0.0025046999712021,0.0210503653085205,0.0614607057385202,0.240235580929709
2000,1,9,224,180,167,179,0.0006703063372036,0.0050246371637494,0.0303403554166262,0.0635553649881272,0.236491010013265
2000,2,11,172,115,68,55,0.00160033276519,0.0080284291175742,0.0516321679458004,0.0879932438973144,0.270567335238132
2000,2,5,63,90,111,111,0.0007629945886585,0.0027206223825126,0.0242888830482929,0.0598433187454013,0.200497364535321
2000,2,16,235,205,179,166,0.0011916557105842,0.005271382738755,0.0345542936689354,0.0681222175621244,0.219315685263699
2000,3,5,166,115,81,37,0.0007274239841772,0.0077483676367286,0.0516321679458004,0.104815481701213,0.182018025523834
2000,3,8,82,89,119,118,0.0012207913418536,0.0035411275454926,0.0240190065699785,0.0641563507270518,0.21314134247899
2000,3,13,248,204,200,155,0.0009682202648497,0.0055629911455797,0.034385736138843,0.0761142095666194,0.204782718167911
2000,4,7,160,118,91,73,0.0010183935778482,0.0074683061558829,0.0529790940661256,0.117755664627288,0.359116644952429
2000,4,5,80,94,132,137,0.0007629945886585,0.0034547585809684,0.0253683889615503,0.0711650276972339,0.247460711183234
2000,4,12,240,212,223,210,0.0008937417829381,0.005383539818303,0.035734196379582,0.0848673436667806,0.277447553646848
2000,5,3,162,123,75,56,0.0004364543905063,0.0075616599828315,0.0552239709333343,0.0970513719455673,0.275486741333371
2000,5,5,70,81,132,159,0.0007629945886585,0.0030229137583474,0.0218599947434636,0.0711650276972339,0.287198927577622
2000,5,8,232,204,207,215,0.0005958278552921,0.0052040884910262,0.034385736138843,0.0787782069014511,0.284053447781296
2000,6,10,155,113,92,63,0.0014548479683545,0.0072349215885116,0.0507342171989169,0.119049682919896,0.309922584000042
2000,6,5,75,86,117,155,0.0007629945886585,0.0032388361696579,0.0232093771350354,0.0630780927316392,0.279973797324097
2000,6,15,230,199,209,218,0.0011171772286727,0.005159225659207,0.0335429484883812,0.0795393489971173,0.288016984261966
2000,7,1,176,133,83,63,0.0001454847968354,0.0082151367714712,0.0597137246677518,0.107403518286428,0.309922584000042
2000,7,4,67,94,133,144,0.0006103956709268,0.002893360311561,0.0253683889615503,0.0717041566949402,0.260104689126903
2000,7,5,243,227,216,207,0.0003723924095575,0.0054508340660318,0.0382625593309675,0.082203346331949,0.273484017166178
2000,8,7,215,109,76,48,0.0010183935778482,0.0100355363969678,0.0489383157051499,0.0983453902381749,0.23613149257146
2000,8,8,61,79,133,138,0.0012207913418536,0.0026342534179884,0.0213202417868349,0.0717041566949402,0.249266993746615
2000,8,15,276,188,209,186,0.0011171772286727,0.0061910707910484,0.0316888156573652,0.0795393489971173,0.245739261801494
2000,9,9,180,107,92,45,0.0013093631715191,0.0084018444253683,0.0480403649582664,0.119049682919896,0.221373274285744
2000,9,7,57,106,125,152,0.0010681924241219,0.00246151548894,0.0286069067013227,0.0673911247132897,0.274554949633953
2000,9,16,237,213,217,197,0.0011916557105842,0.0053162455705742,0.0359027539096744,0.0825839173797821,0.260272228897281
2000,10,7,182,115,98,40,0.0010183935778482,0.0084951982523169,0.0516321679458004,0.126813792675541,0.19677624380955
2000,10,3,62,93,107,127,0.0004577967531951,0.0026774379002505,0.025098512483236,0.057686802754576,0.229397885549421
2000,10,10,244,208,205,167,0.0007447848191151,0.0054732654819414,0.0350599662592125,0.0780170648057849,0.220636864090588
2000,11,3,181,113,97,46,0.0004364543905063,0.0084485213388426,0.0507342171989169,0.125519774382934,0.226292680380983
2000,11,2,78,95,129,107,0.0003051978354634,0.0033683896164442,0.0256382654398647,0.069547640704115,0.193272234281796
2000,11,5,259,208,226,153,0.0003723924095575,0.0058097367205853,0.0350599662592125,0.0860090568102799,0.202140360514132
2000,12,5,181,108,66,45,0.0007274239841772,0.0084485213388426,0.0484893403317082,0.0854052073120992,0.221373274285744
