Year,Week,0-14,15-64,65-74,75-84,85+,0-14.1,15-64.1,65-74.1,75-84.1,85+.1
2000,1,0,14,10,17,8,0.0,0.004914755720864,0.0315440206572558,0.141953497473892,0.255079983638244
2000,1,1,4,7,15,17,0.0012936073160996,0.0014430220714502,0.018346855291585,0.0642527016780207,0.200140093324375
2000,1,1,18,17,32,25,0.0006293173051478,0.0032025477229447,0.0243359831515481,0.0905974698955035,0.214955367019115
2000,2,0,14,8,18,10,0.0,0.004914755720864,0.0252352165258047,0.15030370320765,0.318849979547805
2000,2,1,8,3,13,20,0.0012936073160996,0.0028860441429005,0.0078629379821078,0.055685674787618,0.235458933322794
2000,2,1,22,11,31,30,0.0006293173051478,0.0039142249947101,0.0157468126274723,0.0877662989612691,0.257946440422938
2000,3,0,16,12,12,8,0.0,0.0056168636809874,0.037852824788707,0.1002024688051,0.255079983638244
2000,3,1,4,8,15,17,0.0012936073160996,0.0014430220714502,0.0209678346189542,0.0642527016780207,0.200140093324375
2000,3,1,20,20,27,25,0.0006293173051478,0.0035583863588274,0.028630568413586,0.0764416152243311,0.214955367019115
2000,4,1,12,15,6,7,0.0012255031035632,0.0042126477607406,0.0473160309858837,0.0501012344025501,0.223194985683463
2000,4,1,3,4,16,20,0.0012936073160996,0.0010822665535876,0.0104839173094771,0.0685362151232221,0.235458933322794
2000,4,2,15,19,22,27,0.0012586346102957,0.0026687897691205,0.0271990399929067,0.0622857605531587,0.232151796380644
2000,5,0,9,15,7,5,0.0,0.0031594858205554,0.0473160309858837,0.0584514401363085,0.159424989773902
2000,5,0,3,9,9,10,0.0,0.0010822665535876,0.0235888139463235,0.0385516210068124,0.117729466661397
2000,5,0,12,24,16,15,0.0,0.0021350318152964,0.0343566820963032,0.0452987349477518,0.128973220211469
2000,6,0,10,19,11,7,0.0,0.0035105398006171,0.0599336392487861,0.0918522630713419,0.223194985683463
2000,6,0,5,5,10,19,0.0,0.0018037775893128,0.0131048966368464,0.0428351344520138,0.223685986656654
2000,6,0,15,24,21,26,0.0,0.0026687897691205,0.0343566820963032,0.0594545896189242,0.22355358169988
2000,7,2,9,7,12,7,0.0024510062071264,0.0031594858205554,0.0220808144600791,0.1002024688051,0.223194985683463
2000,7,1,5,6,13,20,0.0012936073160996,0.0018037775893128,0.0157258759642157,0.055685674787618,0.235458933322794
2000,7,3,14,13,25,27,0.0018879519154436,0.0024908704511792,0.0186098694688309,0.0707792733558621,0.232151796380644
2000,8,0,15,8,11,9,0.0,0.0052658097009257,0.0252352165258047,0.0918522630713419,0.286964981593024
2000,8,1,4,6,10,20,0.0012936073160996,0.0014430220714502,0.0157258759642157,0.0428351344520138,0.235458933322794
2000,8,1,19,14,21,29,0.0006293173051478,0.003380467040886,0.0200413978895102,0.0594545896189242,0.249348225742173
2000,9,0,17,12,5,7,0.0,0.0059679176610491,0.037852824788707,0.0417510286687918,0.223194985683463
2000,9,0,3,10,11,11,0.0,0.0010822665535876,0.0262097932736928,0.0471186478972152,0.129502413327537
2000,9,0,20,22,16,18,0.0,0.0035583863588274,0.0314936252549446,0.0452987349477518,0.154767864253763
2000,10,0,9,10,17,7,0.0,0.0031594858205554,0.0315440206572558,0.141953497473892,0.223194985683463
2000,10,0,7,4,10,23,0.0,0.0025252886250379,0.0104839173094771,0.0428351344520138,0.270777773321213
2000,10,0,16,14,27,30,0.0,0.0028467090870619,0.0200413978895102,0.0764416152243311,0.257946440422938
2000,11,1,8,11,8,1,0.0012255031035632,0.0028084318404937,0.0346984227229814,0.0668016458700668,0.0318849979547805
2000,11,0,9,4,9,9,0.0,0.003246799660763,0.0104839173094771,0.0385516210068124,0.105956519995257
2000,11,1,17,15,17,10,0.0006293173051478,0.0030246284050033,0.0214729263101895,0.0481299058819863,0.085982146807646
2000,12,1,11,11,16,9,0.0012255031035632,0.0038615937806788,0.0346984227229814,0.133603291740134,0.286964981593024
2000,12,0,7,4,11,20,0.0,0.0025252886250379,0.0104839173094771,0.0471186478972152,0.235458933322794
2000,12,1,18,15,27,29,0.0006293173051478,0.0032025477229447,0.0214729263101895,0.0764416152243311,0.249348225742173
2000,13,0,2,9,12,5,0.0,0.0007021079601234,0.0283896185915302,0.1002024688051,0.159424989773902
2000,13,0,4,7,8,18,0.0,0.0014430220714502,0.018346855291585,0.034268107561611,0.211913039990515
2000,13,0,6,16,20,23,0.0,0.0010675159076482,0.0229044547308688,0.0566234186846897,0.197758937657586
2000,14,0,11,8,10,8,0.0,0.0038615937806788,0.0252352165258047,0.0835020573375835,0.255079983638244
2000,14,0,6,5,8,15,0.0,0.0021645331071753,0.0131048966368464,0.034268107561611,0.176594199992095
2000,14,0,17,13,18,23,0.0,0.0030246284050033,0.0186098694688309,0.0509610768162207,0.197758937657586
2000,15,1,9,7,8,12,0.0012255031035632,0.0031594858205554,0.0220808144600791,0.0668016458700668,0.382619975457366
2000,15,0,6,4,13,8,0.0,0.0021645331071753,0.0104839173094771,0.055685674787618,0.0941835733291176
2000,15,1,15,11,21,20,0.0006293173051478,0.0026687897691205,0.0157468126274723,0.0594545896189242,0.171964293615292
2000,16,0,9,13,8,3,0.0,0.0031594858205554,0.0410072268544326,0.0668016458700668,0.0956549938643415
2000,16,1,7,6,10,10,0.0012936073160996,0.0025252886250379,0.0157258759642157,0.0428351344520138,0.117729466661397
2000,16,1,16,19,18,13,0.0006293173051478,0.0028467090870619,0.0271990399929067,0.0509610768162207,0.11177679084994
2000,17,0,4,9,8,7,0.0,0.0014042159202468,0.0283896185915302,0.0668016458700668,0.223194985683463
2000,17,1,4,7,13,15,0.0012936073160996,0.0014430220714502,0.018346855291585,0.055685674787618,0.176594199992095
2000,17,1,8,16,21,22,0.0006293173051478,0.0014233545435309,0.0229044547308688,0.0594545896189242,0.189160722976821
2000,18,1,5,11,10,7,0.0012255031035632,0.0017552699003085,0.0346984227229814,0.0835020573375835,0.223194985683463
2000,18,0,6,2,13,12,0.0,0.0021645331071753,0.0052419586547385,0.055685674787618,0.141275359993676
2000,18,1,11,13,23,19,0.0006293173051478,0.0019571124973551,0.0186098694688309,0.0651169314873932,0.163366078934527
2000,19,1,11,8,10,5,0.0012255031035632,0.0038615937806788,0.0252352165258047,0.0835020573375835,0.159424989773902
2000,19,0,4,3,16,11,0.0,0.0014430220714502,0.0078629379821078,0.0685362151232221,0.129502413327537
2000,19,1,15,11,26,16,0.0006293173051478,0.0026687897691205,0.0157468126274723,0.0736104442900966,0.137571434892234
2000,20,0,21,8,11,6,0.0,0.007372133581296,0.0252352165258047,0.0918522630713419,0.191309987728683
2000,20,0,3,7,15,13,0.0,0.0010822665535876,0.018346855291585,0.0642527016780207,0.153048306659816
2000,20,0,24,15,26,19,0.0,0.0042700636305929,0.0214729263101895,0.0736104442900966,0.163366078934527
2000,21,1,18,8,6,3,0.0012255031035632,0.0063189716411109,0.0252352165258047,0.0501012344025501,0.0956549938643415
2000,21,0,6,7,13,8,0.0,0.0021645331071753,0.018346855291585,0.055685674787618,0.0941835733291176
2000,21,1,24,15,19,11,0.0006293173051478,0.0042700636305929,0.0214729263101895,0.0537922477504552,0.0945803614884106
2000,22,0,12,14,5,4,0.0,0.0042126477607406,0.0441616289201582,0.0417510286687918,0.127539991819122
2000,22,0,1,6,12,13,0.0,0.0003607555178625,0.0157258759642157,0.0514021613424166,0.153048306659816
2000,22,0,13,20,17,17,0.0,0.0023129511332378,0.028630568413586,0.0481299058819863,0.146169649572998
2000,23,0,10,14,4,4,0.0,0.0035105398006171,0.0441616289201582,0.0334008229350334,0.127539991819122
2000,23,0,8,7,13,14,0.0,0.0028860441429005,0.018346855291585,0.055685674787618,0.164821253325956
2000,23,0,18,21,17,18,0.0,0.0032025477229447,0.0300620968342653,0.0481299058819863,0.154767864253763
2000,24,1,8,10,8,3,0.0012255031035632,0.0028084318404937,0.0315440206572558,0.0668016458700668,0.0956549938643415
2000,24,0,6,4,8,12,0.0,0.0021645331071753,0.0104839173094771,0.034268107561611,0.141275359993676
2000,24,1,14,14,16,15,0.0006293173051478,0.0024908704511792,0.0200413978895102,0.0452987349477518,0.128973220211469
2000,25,0,8,9,11,6,0.0,0.0028084318404937,0.0283896185915302,0.0918522630713419,0.191309987728683
2000,25,0,4,8,5,13,0.0,0.0014430220714502,0.0209678346189542,0.0214175672260069,0.153048306659816
2000,25,0,12,17,16,19,0.0,0.0021350318152964,0.0243359831515481,0.0452987349477518,0.163366078934527
2000,26,2,19,5,9,4,0.0024510062071264,0.0066700256211726,0.0157720103286279,0.0751518516038252,0.127539991819122
2000,26,0,3,5,6,8,0.0,0.0010822665535876,0.0131048966368464,0.0257010806712083,0.0941835733291176
2000,26,2,22,10,15,12,0.0012586346102957,0.0039142249947101,0.014315284206793,0.0424675640135173,0.103178576169175
2000,27,0,8,11,2,5,0.0,0.0028084318404937,0.0346984227229814,0.0167004114675167,0.159424989773902
2000,27,0,10,3,16,13,0.0,0.0036075551786256,0.0078629379821078,0.0685362151232221,0.153048306659816
2000,27,0,18,14,18,18,0.0,0.0032025477229447,0.0200413978895102,0.0509610768162207,0.154767864253763
2000,28,1,10,8,11,5,0.0012255031035632,0.0035105398006171,0.0252352165258047,0.0918522630713419,0.159424989773902
2000,28,1,10,8,10,12,0.0012936073160996,0.0036075551786256,0.0209678346189542,0.0428351344520138,0.141275359993676
2000,28,2,20,16,21,17,0.0012586346102957,0.0035583863588274,0.0229044547308688,0.0594545896189242,0.146169649572998
2000,29,0,10,10,8,5,0.0,0.0035105398006171,0.0315440206572558,0.0668016458700668,0.159424989773902
2000,29,1,6,6,14,15,0.0012936073160996,0.0021645331071753,0.0157258759642157,0.0599691882328193,0.176594199992095
2000,29,1,16,16,22,20,0.0006293173051478,0.0028467090870619,0.0229044547308688,0.0622857605531587,0.171964293615292
