Year,Week,0-14,15-64,65-74,75-84,85+,0-14.1,15-64.1,65-74.1,75-84.1,85+.1
2000,1,5.0,242.0,133.0,74.0,57.0,0.001217008110194,0.0164849694731948,0.0844957265068649,0.155305459294976,0.489959332603978
2000,1,5.0,102.0,131.0,164.0,172.0,0.0012732450301836,0.0063732801416625,0.0473116102369721,0.114409184825167,0.400722860311747
2000,1,10.0,344.0,264.0,238.0,229.0,0.0012444915762762,0.0112109241893877,0.0607885871198912,0.124611785939654,0.419751786682809
2000,2,6.0,125.0,100.0,63.0,49.0,0.0014604097322328,0.008514963570865,0.063530621433733,0.13221951264302,0.421193110484121
2000,2,3.0,74.0,100.0,134.0,123.0,0.0007639470181101,0.0046237522596375,0.0361157330053222,0.0934806754059292,0.286563440804331
2000,2,9.0,199.0,200.0,197.0,172.0,0.0011200424186486,0.0064853892839772,0.0460519599393115,0.103145049706352,0.315272084320713
2000,3,7.0,138.0,113.0,62.0,44.0,0.0017038113542716,0.009400519782235,0.0717896022201183,0.130120790220115,0.378214221659211
2000,3,2.0,78.0,82.0,156.0,139.0,0.0005092980120734,0.0048736848142125,0.0296149010643642,0.108828248980037,0.32383998594961
2000,3,9.0,216.0,195.0,218.0,183.0,0.0011200424186486,0.0070394175142667,0.0449006609408287,0.114140207289263,0.335434833899363
2000,4,7.0,174.0,122.0,74.0,32.0,0.0017038113542716,0.0118528292906442,0.0775073581491543,0.155305459294976,0.275064888479426
2000,4,3.0,63.0,103.0,133.0,116.0,0.0007639470181101,0.0039364377345563,0.0371992049954819,0.092783058425288,0.270254952303272
2000,4,10.0,237.0,225.0,207.0,148.0,0.0012444915762762,0.0077238053281537,0.0518084549317254,0.108380839031547,0.271280630694567
2000,5,7.0,155.0,101.0,52.0,41.0,0.0017038113542716,0.0105585548278727,0.0641659276480703,0.109133565991064,0.352426888364265
2000,5,7.0,67.0,80.0,105.0,103.0,0.0017825430422571,0.0041863702891313,0.0288925864042578,0.0732497829673326,0.239967759372733
2000,5,14.0,222.0,181.0,157.0,144.0,0.0017422882067867,0.007234956889663,0.0416770237450769,0.0822018924055698,0.263948721756876
2000,6,7.0,151.0,92.0,62.0,25.0,0.0017038113542716,0.010286075993605,0.0584481717190344,0.130120790220115,0.214894444124552
2000,6,5.0,63.0,74.0,112.0,104.0,0.0012732450301836,0.0039364377345563,0.0267256424239384,0.0781331018318215,0.242297543444312
2000,6,12.0,214.0,166.0,174.0,129.0,0.0014933898915315,0.0069742377224679,0.0382231267496285,0.0911027342584022,0.236454063240535
2000,7,4.0,157.0,71.0,51.0,29.0,0.0009736064881552,0.0106947942450065,0.0451067412179504,0.107034843568159,0.24927755518448
2000,7,4.0,69.0,90.0,100.0,101.0,0.0010185960241469,0.0043113365664188,0.03250415970479,0.0697616980641263,0.235308191229573
2000,7,8.0,226.0,161.0,151.0,130.0,0.000995593261021,0.0073653164732605,0.0370718277511457,0.0790604188104525,0.238287040474957
2000,8,2.0,153.0,103.0,54.0,29.0,0.0004868032440776,0.0104223154107388,0.065436540076745,0.113331010836874,0.24927755518448
2000,8,5.0,74.0,64.0,101.0,97.0,0.0012732450301836,0.0046237522596375,0.0231140691234062,0.0704593150447676,0.225989054943253
2000,8,7.0,227.0,167.0,155.0,126.0,0.0008711441033933,0.0073979063691599,0.0384533865493251,0.0811547345405307,0.230955131537266
2000,9,6.0,166.0,90.0,39.0,27.0,0.0014604097322328,0.0113078716221088,0.0571775592903597,0.0818501744932982,0.232085999654516
2000,9,2.0,59.0,66.0,114.0,79.0,0.0005092980120734,0.0036865051799813,0.0238363837835127,0.079528335793104,0.184052941654814
2000,9,8.0,225.0,156.0,153.0,106.0,0.000995593261021,0.0073327265773611,0.035920528752663,0.0801075766754916,0.194295586848811
2000,10,2.0,139.0,86.0,48.0,39.0,0.0004868032440776,0.0094686394908019,0.0546363344330104,0.100738676299444,0.335235332834301
2000,10,5.0,58.0,78.0,112.0,86.0,0.0012732450301836,0.0036240220413375,0.0281702717441513,0.0781331018318215,0.200361430155874
2000,10,7.0,197.0,164.0,160.0,125.0,0.0008711441033933,0.0064202094921784,0.0377626071502354,0.0837726292031285,0.229122154302844
2000,11,3.0,153.0,80.0,49.0,36.0,0.0007302048661164,0.0104223154107388,0.0508244971469864,0.102837398722349,0.309447999539355
2000,11,2.0,57.0,85.0,99.0,90.0,0.0005092980120734,0.0035615389026938,0.0306983730545239,0.069064081083485,0.209680566442193
2000,11,5.0,210.0,165.0,148.0,126.0,0.0006222457881381,0.0068438781388704,0.037992866949932,0.0774896820128938,0.230955131537266
2000,12,7.0,153.0,67.0,47.0,31.0,0.0017038113542716,0.0104223154107388,0.0425655163606011,0.0986399538765388,0.266469110714444
2000,12,3.0,53.0,79.0,90.0,90.0,0.0007639470181101,0.0033116063481188,0.0285314290742045,0.0627855282577137,0.209680566442193
2000,12,10.0,206.0,146.0,137.0,121.0,0.0012444915762762,0.0067135185552728,0.0336179307556974,0.0717303137551788,0.221790245365153
2000,13,5.0,166.0,89.0,39.0,23.0,0.001217008110194,0.0113078716221088,0.0565422530760224,0.0818501744932982,0.197702888594588
2000,13,3.0,46.0,63.0,76.0,70.0,0.0007639470181101,0.0028742243776125,0.022752911793353,0.053018890528736,0.163084885010595
2000,13,8.0,212.0,152.0,115.0,93.0,0.000995593261021,0.0069090579306691,0.0349994895538767,0.0602115772397486,0.170466882801316
2000,14,4.01307189542484,157.513071895425,69.2254901960784,55.1797385620915,21.0686274509804,0.0009767882087047,0.0107297445529967,0.0439793841121165,0.115806954610302,0.181101239381828
2000,14,1.0,49.0,75.0,86.0,77.0,0.0002546490060367,0.0030616737935438,0.0270867997539917,0.0599950603351486,0.179393373511654
2000,14,5.01307189542484,206.513071895425,144.225490196078,141.179738562092,98.0686274509804,0.0006238725745123,0.0067302395149336,0.0332093324836868,0.0739187368097294,0.179757561528733
2000,15,3.0,140.0,80.0,39.0,27.0,0.0007302048661164,0.0095367591993688,0.0508244971469864,0.0818501744932982,0.232085999654516
2000,15,0.0,66.0,69.0,96.0,84.0,0.0,0.0041238871504875,0.0249198557736723,0.0669712301415612,0.195701862012714
2000,15,3.0,206.0,149.0,135.0,111.0,0.0003733474728828,0.0067135185552728,0.0343087101547871,0.0706831558901397,0.203460473020925
2000,16,9.0,140.0,86.0,43.0,27.0,0.0021906145983492,0.0095367591993688,0.0546363344330104,0.0902450641849185,0.232085999654516
2000,16,2.0,61.0,75.0,98.0,70.0,0.0005092980120734,0.0038114714572688,0.0270867997539917,0.0683664641028438,0.163084885010595
2000,16,11.0,201.0,161.0,141.0,97.0,0.0013689407339038,0.0065505690757759,0.0370718277511457,0.073824629485257,0.177798791739007
2000,17,3.0,155.0,81.0,35.0,27.0,0.0007302048661164,0.0105585548278727,0.0514598033613237,0.0734552848016778,0.232085999654516
2000,17,2.0,61.0,69.0,88.0,73.0,0.0005092980120734,0.0038114714572688,0.0249198557736723,0.0613902942964311,0.170074237225335
2000,17,5.0,216.0,150.0,123.0,100.0,0.0006222457881381,0.0070394175142667,0.0345389699544836,0.064400208699905,0.183297723442275
2000,18,7.0,123.0,63.0,48.0,22.0,0.0017038113542716,0.0083787241537312,0.0400242915032518,0.100738676299444,0.189107110829606
2000,18,4.0,62.0,61.0,103.0,68.0,0.0010185960241469,0.0038739545959125,0.0220305971332465,0.0718545490060501,0.158425316867435
2000,18,11.0,185.0,124.0,151.0,90.0,0.0013689407339038,0.0060291307413858,0.0285522151623731,0.0790604188104525,0.164967951098047
2000,19,5.0,125.0,67.0,36.0,25.0,0.001217008110194,0.008514963570865,0.0425655163606011,0.0755540072245829,0.214894444124552
2000,19,3.0,44.0,62.0,78.0,67.0,0.0007639470181101,0.002749258100325,0.0223917544632998,0.0544141244900185,0.156095532795855
2000,19,8.0,169.0,129.0,114.0,92.0,0.000995593261021,0.0055076924069957,0.0297035141608559,0.059687998307229,0.168633905566893
2000,20,6.0,123.0,72.0,41.0,21.0,0.0014604097322328,0.0083787241537312,0.0457420474322878,0.0860476193391083,0.180511333064623
2000,20,4.0,53.0,68.0,92.0,70.0,0.0010185960241469,0.0033116063481188,0.0245586984436191,0.0641807622189962,0.163084885010595
2000,20,10.0,176.0,140.0,133.0,91.0,0.0012444915762762,0.0057358216782914,0.032236371957518,0.0696359980251006,0.16680092833247
2000,21,3.00961538461538,141.451923076923,87.2788461538462,48.1538461538462,33.1057692307692,0.0007325452663283,0.0096356637762304,0.0554487933417302,0.101061556672199,0.284569835046474
2000,21,1.0,67.0,55.0,62.0,88.0,0.0002546490060367,0.0041863702891313,0.0198636531529272,0.0432522527997583,0.205020998299034
2000,21,4.00961538461538,208.451923076923,142.278846153846,110.153846153846,121.105769230769,0.0004989932570261,0.0067934264731031,0.0327610986164419,0.0576742331821539,0.221984117957255
2000,22,2.0,124.0,76.0,43.0,24.0,0.0004868032440776,0.0084468438622981,0.0482832722896371,0.0902450641849185,0.20629866635957
2000,22,2.0,56.0,44.0,65.0,65.0,0.0005092980120734,0.00349905576405,0.0158909225223418,0.0453451037416821,0.151435964652695
