Year,Week,0-14,15-64,65-74,75-84,85+,0-14.1,15-64.1,65-74.1,75-84.1,85+.1
2000,1,2,76,116,248,153,0.0002254070408572,0.0026702534034454,0.0391300849855916,0.123295791345584,0.325055326682782
2000,1,7,62,71,246,315,0.0008322049196001,0.0022520490836048,0.0207758374452428,0.0796124762724699,0.274673217684394
2000,1,9,138,187,494,468,0.0005207059552096,0.0024646289279629,0.029301607708772,0.0968363329760485,0.289334247476529
2000,2,5,89,112,217,157,0.000563517602143,0.0031270072750874,0.0377807717102264,0.107883817427386,0.333553505158149
2000,2,4,49,58,227,301,0.0004755456683429,0.0017798452434941,0.0169718108707617,0.0734635451782547,0.262465519120643
2000,2,9,138,170,444,458,0.0005207059552096,0.0024646289279629,0.0266378251897927,0.0870350846991205,0.283151891761218
2000,3,5,81,114,169,132,0.000563517602143,0.0028459279694615,0.038455428347909,0.0840201158766276,0.280439889687106
2000,3,1,65,59,205,242,0.0001188864170857,0.0023610192005534,0.017264428299568,0.0663437302270582,0.211018789459122
2000,3,6,146,173,374,374,0.0003471373034731,0.0026075059672651,0.0271079044578479,0.0733133371114213,0.231220103752611
2000,4,10,82,82,191,128,0.0011270352042861,0.0028810628826648,0.0276609221449872,0.0949576457540584,0.271941711211739
2000,4,3,58,68,170,252,0.0003566592512572,0.00210675559434,0.0198979851588241,0.0550167518956092,0.219738574147515
2000,4,13,140,150,361,380,0.0007521308241917,0.0025003481877884,0.0235039634027583,0.07076501255942,0.234929517181797
2000,5,2,83,102,177,125,0.0002254070408572,0.002916197795868,0.0344074885218133,0.0879973994684207,0.265568077355214
2000,5,3,55,62,168,201,0.0003566592512572,0.0019977854773913,0.0181422805859867,0.054369495990955,0.175267672236709
2000,5,5,138,164,345,326,0.0002892810862276,0.0024646289279629,0.0256976666536824,0.0676286131108031,0.201544796319121
2000,6,8,74,93,183,120,0.0009016281634288,0.0025999835770389,0.0313715336522416,0.0909803621622654,0.254945354261006
2000,6,5,47,46,149,216,0.0005944320854287,0.0017071984988617,0.0134604017250869,0.0482205648967399,0.188347349269299
2000,6,13,121,139,332,336,0.0007521308241917,0.0021610152194457,0.0217803394198893,0.0650802885588018,0.207727152034431
2000,7,5,91,81,171,105,0.000563517602143,0.0031972771014938,0.0273235938261459,0.0850144367745759,0.22307718497838
2000,7,3,44,45,167,220,0.0003566592512572,0.0015982283819131,0.0131677842962806,0.0540458680386279,0.191835263144656
2000,7,8,135,126,338,325,0.0004628497379641,0.0024110500382245,0.0197433292583169,0.0662564383520332,0.200926560747589
2000,8,3,85,79,159,121,0.0003381105612858,0.0029864676222744,0.0266489371884633,0.0790485113868864,0.257069898879847
2000,8,4,57,46,160,170,0.0004755456683429,0.0020704322220238,0.0134604017250869,0.0517804723723381,0.148236339702689
2000,8,7,142,125,319,291,0.0004049935207186,0.002536067447614,0.0195866361689652,0.0625319640068005,0.179906551315534
2000,9,3,89,85,149,94,0.0003381105612858,0.0031270072750874,0.0286729071015111,0.0740769068971451,0.199707194171121
2000,9,3,55,60,152,182,0.0003566592512572,0.0019977854773913,0.0175570457283742,0.0491914487537212,0.158700081328761
2000,9,6,144,145,301,276,0.0003471373034731,0.0025717867074395,0.0227204979559996,0.0590035146271065,0.170633017742568
2000,10,2,78,76,156,84,0.0002254070408572,0.0027405232298518,0.0256369522319393,0.077557030039964,0.178461747982704
2000,10,3,40,61,149,183,0.0003566592512572,0.0014529348926482,0.0178496631571804,0.0482205648967399,0.1595720597976
2000,10,5,118,137,305,267,0.0002892810862276,0.0021074363297074,0.0214669532411859,0.0597876144892607,0.165068897598789
2000,11,5,82,65,163,94,0.000563517602143,0.0028810628826648,0.021926340724685,0.0810371531827829,0.199707194171121
2000,11,1,35,46,151,179,0.0001188864170857,0.0012713180310672,0.0134604017250869,0.0488678208013941,0.156084145922243
2000,11,6,117,111,314,273,0.0003471373034731,0.0020895766997946,0.0173929329180411,0.0615518391791077,0.168778311027975
2000,12,7,77,82,138,72,0.0007889246430002,0.0027053883166486,0.0276609221449872,0.0686081419584297,0.152967212556603
2000,12,4,56,54,124,155,0.0004755456683429,0.0020341088497076,0.0158013411555368,0.040129866088562,0.135156662670099
2000,12,11,133,136,262,227,0.0006364183897007,0.002375330778399,0.0213102601518342,0.0513585409711026,0.140339474737547
2000,13,5,71,81,141,90,0.000563517602143,0.0024945788374292,0.0273235938261459,0.070099623305352,0.191209015695754
2000,13,5,44,56,134,181,0.0005944320854287,0.0015982283819131,0.0163865760131493,0.0433661456118332,0.157828102859922
2000,13,10,115,137,275,271,0.0005785621724552,0.002053857439969,0.0214669532411859,0.0539068655231039,0.167541839884913
2000,14,5,72,96,153,77,0.000563517602143,0.0025297137506325,0.0323835186087655,0.0760655486930416,0.163589935650812
2000,14,1,49,45,122,155,0.0001188864170857,0.0017798452434941,0.0131677842962806,0.0394826101839078,0.135156662670099
2000,14,6,121,141,275,232,0.0003471373034731,0.0021610152194457,0.0220937255985928,0.0539068655231039,0.143430652595202
2000,15,4,88,88,151,78,0.0004508140817144,0.0030918723618841,0.029684892058035,0.0750712277950933,0.165714480269654
2000,15,3,49,59,151,152,0.0003566592512572,0.0017798452434941,0.017264428299568,0.0488678208013941,0.132540727263581
2000,15,7,137,147,302,230,0.0004049935207186,0.0024467692980501,0.0230338841347031,0.059199539592645,0.14219418145214
2000,16,4,92,74,157,82,0.0004508140817144,0.0032324120146971,0.0249622955942567,0.0780541904889381,0.174212658745021
2000,16,2,47,44,153,175,0.0002377728341714,0.0017071984988617,0.0128751668674744,0.0495150767060483,0.152596232046886
2000,16,6,139,118,310,257,0.0003471373034731,0.0024824885578756,0.0184897845435032,0.0607677393169535,0.158886541883478
2000,17,7,95,72,154,81,0.0007889246430002,0.0033378167543067,0.0242876389565741,0.0765627091420157,0.172088114126179
2000,17,3,35,42,131,161,0.0003566592512572,0.0012713180310672,0.0122899320098619,0.0423952617548518,0.140388533483135
2000,17,10,130,114,285,242,0.0005785621724552,0.0023217518886607,0.0178630121860963,0.0558671151784895,0.149613008310513
2000,18,5,94,73,149,85,0.000563517602143,0.0033026818411035,0.0246249672754154,0.0740769068971451,0.180586292601546
2000,18,6,35,54,130,155,0.0007133185025144,0.0012713180310672,0.0158013411555368,0.0420716338025247,0.135156662670099
2000,18,11,129,127,279,240,0.0006364183897007,0.0023038922587479,0.0199000223476687,0.0546909653852582,0.148376537167451
2000,19,6,76,82,138,86,0.0006762211225716,0.0026702534034454,0.0276609221449872,0.0686081419584297,0.182710837220388
2000,19,0,41,51,129,198,0.0,0.0014892582649644,0.0149234888691181,0.0417480058501976,0.172651736830191
2000,19,6,117,133,267,284,0.0003471373034731,0.0020895766997946,0.020840180883779,0.0523386657987954,0.175578902314817
2000,20,2,108,63,136,82,0.0002254070408572,0.0037945706259487,0.0212516840870023,0.0676138210604814,0.174212658745021
2000,20,10,42,41,130,150,0.0011888641708574,0.0015255816372807,0.0119973145810557,0.0420716338025247,0.130796770325902
2000,20,12,150,104,266,232,0.0006942746069462,0.0026789444869162,0.0162960812925791,0.0521426408332569,0.143430652595202
