Year,Week,0-14,15-64,65-74,75-84,85+,0-14.1,15-64.1,65-74.1,75-84.1,85+.1
2000,1,23.0,304.0,346.0,418.0,267.0,0.0013823794727392,0.0046408251500408,0.0415475657895866,0.100819634740938,0.292638000001842
2000,1,11.0,148.0,177.0,425.0,468.0,0.0006985779587464,0.0021784245239139,0.0169430702467005,0.0671033771952616,0.223774535715154
2000,1,34.0,452.0,523.0,843.0,735.0,0.0010498929960548,0.0033871734108391,0.0278568546053898,0.0804425455971908,0.244691620996439
2000,2,8.0,318.0,330.0,435.0,277.0,0.0004808276426919,0.004854547360898,0.039626291070993,0.104919954814134,0.303598224721012
2000,2,11.0,146.0,189.0,417.0,479.0,0.0006985779587464,0.0021489863546719,0.0180917529752903,0.0658402548009979,0.229034193605895
2000,2,19.0,464.0,519.0,852.0,756.0,0.00058670490956,0.003477098368649,0.0276438002680636,0.0813013628099722,0.251682810167765
2000,3,17.0,347.0,348.0,504.0,302.0,0.0010217587407203,0.0052972576548163,0.0417877251294108,0.121562430405341,0.330998786518937
2000,3,15.0,149.0,247.0,487.0,504.0,0.0009526063073815,0.002193143608535,0.023643719496808,0.0768925757508057,0.240987961539396
2000,3,32.0,496.0,595.0,991.0,806.0,0.0009881345845222,0.003716898256142,0.0316918326772599,0.0945653175407071,0.268328498670924
2000,4,14.0,331.0,388.0,498.0,342.0,0.0008414483747108,0.005053003699551,0.0465909119258948,0.120115258614801,0.374839685395618
2000,4,13.0,140.0,263.0,526.0,597.0,0.0008255921330639,0.0020606718469456,0.0251752964682612,0.0830502974228414,0.285455978252023
2000,4,27.0,471.0,651.0,1024.0,939.0,0.0008337385556906,0.0035295545940381,0.0346745933998255,0.0977143139875722,0.312606030089328
2000,5,10.0,325.0,354.0,537.0,295.0,0.0006010345533649,0.0049614084663265,0.0425082031488834,0.12952187525331,0.323326629215518
2000,5,12.0,163.0,237.0,558.0,623.0,0.0007620850459052,0.0023992107932296,0.0226864838896498,0.0881027869998964,0.297887896902865
2000,5,22.0,488.0,591.0,1095.0,918.0,0.000679342526859,0.0036569482842687,0.0314787783399337,0.10448942755507,0.305614840918001
2000,6,14.0,280.0,304.0,459.0,296.0,0.0008414483747108,0.0042744442171429,0.0365042196532784,0.110708641976293,0.324422651687435
2000,6,7.0,151.0,211.0,463.0,498.0,0.0004445496101113,0.0022225817777771,0.0201976713110384,0.0731032085680144,0.238119057235356
2000,6,21.0,431.0,515.0,922.0,794.0,0.0006484633210927,0.0032298047346718,0.0274307459307375,0.0879810522427164,0.264333533430166
2000,7,14.0,294.0,286.0,422.0,244.0,0.0008414483747108,0.004488166428,0.0343427855948606,0.101784415934631,0.267429483147751
2000,7,7.0,126.0,196.0,375.0,461.0,0.0004445496101113,0.0018546046622511,0.0187618179003011,0.0592088622311132,0.220427480693773
2000,7,21.0,420.0,482.0,797.0,705.0,0.0006484633210927,0.003147373523346,0.0256730476477971,0.0760530353985303,0.234704207894543
2000,8,11.0,288.0,270.0,383.0,210.0,0.0006611380087013,0.0043965711947755,0.032421510876267,0.0923777992961222,0.230164719102572
2000,8,9.0,136.0,211.0,413.0,408.0,0.0005715637844289,0.0020017955084615,0.0201976713110384,0.065208693603866,0.195085492674749
2000,8,20.0,424.0,481.0,796.0,618.0,0.0006175841153264,0.0031773485092827,0.0256197840634655,0.0759576112637768,0.205740709899046
2000,9,16.0,289.0,273.0,353.0,206.0,0.0009616552853838,0.0044118370669796,0.0327817498860033,0.0851419403434233,0.225780629214904
2000,9,9.0,133.0,149.0,340.0,371.0,0.0005715637844289,0.0019576382545983,0.0142628105466575,0.0536827017562093,0.177393916133167
2000,9,25.0,422.0,422.0,693.0,577.0,0.000771980144158,0.0031623610163143,0.0224772325879053,0.0661289253841675,0.192091245326456
2000,10,10.0,273.0,259.0,342.0,205.0,0.0006010345533649,0.0041675831117143,0.0311006345072339,0.0824887920607671,0.224684606742987
2000,10,8.0,117.0,161.0,383.0,425.0,0.0005080566972701,0.0017221329006617,0.0154114932752473,0.0604719846253769,0.203214054869531
2000,10,18.0,390.0,420.0,725.0,630.0,0.0005558257037937,0.0029225611288213,0.0223707054192423,0.0691824976962792,0.209735675139804
2000,11,7.0,285.0,264.0,286.0,184.0,0.0004207241873554,0.0043507735781633,0.0317010328567944,0.0689818553490625,0.20166813483273
2000,11,8.0,123.0,157.0,323.0,329.0,0.0005080566972701,0.0018104474083879,0.015028599032384,0.0509985666683988,0.157311586004884
2000,11,15.0,408.0,421.0,609.0,513.0,0.0004631880864948,0.0030574485655361,0.0224239690035738,0.0581132980648745,0.170784764042412
2000,12,17.0,264.0,240.0,323.0,185.0,0.0010217587407203,0.0040301902618775,0.028819120778904,0.0779060813907245,0.202764157304647
2000,12,5.0,117.0,163.0,334.0,347.0,0.0003175354357938,0.0017221329006617,0.015602940396679,0.0527353599605115,0.165918298917005
2000,12,22.0,381.0,403.0,657.0,532.0,0.000679342526859,0.0028551174104639,0.0214652244856063,0.0626936565330419,0.177110125673613
2000,13,11.0,265.0,250.0,344.0,167.0,0.0006611380087013,0.0040454561340816,0.030019917478025,0.0829711826576137,0.183035752810141
2000,13,11.0,130.0,167.0,336.0,330.0,0.0006985779587464,0.0019134810007352,0.0159858346395423,0.0530511405590774,0.157789736722224
2000,13,22.0,395.0,417.0,680.0,497.0,0.000679342526859,0.0029600298612421,0.0222109146662477,0.0648884116323722,0.165458143721401
2000,14,12.0,265.0,252.0,337.0,195.0,0.0007212414640378,0.0040454561340816,0.0302600768178492,0.0812828155686506,0.213724382023817
2000,14,13.0,117.0,152.0,282.0,317.0,0.0008255921330639,0.0017221329006617,0.0145499812288049,0.0445250643977971,0.151573777396803
2000,14,25.0,382.0,404.0,619.0,512.0,0.000771980144158,0.0028626111569481,0.0215184880699378,0.0590675394124094,0.170451850272349
2000,15,12.0,268.0,262.0,305.0,178.0,0.0007212414640378,0.0040912537506939,0.0314608735169702,0.0735645660191052,0.195092000001228
2000,15,9.0,102.0,148.0,343.0,341.0,0.0005715637844289,0.0015013466313461,0.0141670869859416,0.0541563726540582,0.163049394612965
2000,15,21.0,370.0,410.0,648.0,519.0,0.0006484633210927,0.0027726861991382,0.021838069575927,0.0618348393202605,0.172782246662791
2000,16,10.0,264.0,246.0,329.0,196.0,0.0006010345533649,0.0040301902618775,0.0295395987983766,0.0793532531812643,0.214820404495734
2000,16,10.0,115.0,138.0,308.0,360.0,0.0006350708715876,0.0016926947314196,0.0132098513787834,0.0486302121791543,0.172134258242426
2000,16,20.0,379.0,384.0,637.0,556.0,0.0006175841153264,0.0028401299174956,0.0204532163833072,0.0607851738379722,0.185100056155129
2000,17,12.0,270.0,236.0,294.0,159.0,0.0007212414640378,0.004121785495102,0.0283388020992556,0.0709114177364489,0.174267573034805
2000,17,12.0,126.0,167.0,320.0,322.0,0.0007620850459052,0.0018546046622511,0.0159858346395423,0.0505248957705499,0.153964530983503
2000,17,24.0,396.0,403.0,614.0,481.0,0.0007411009383916,0.0029675236077263,0.0214652244856063,0.0585904187386419,0.16013152340039
2000,18,11.0,273.0,234.0,361.0,160.0,0.0006611380087013,0.0041675831117143,0.0280986427594314,0.0870715027308097,0.175363595506722
2000,18,10.0,123.0,149.0,336.0,303.0,0.0006350708715876,0.0018104474083879,0.0142628105466575,0.0530511405590774,0.144879667354042
2000,18,21.0,396.0,383.0,697.0,463.0,0.0006484633210927,0.0029675236077263,0.0203999527989757,0.0665106219231815,0.154139075539253
2000,19,15.0,266.0,250.0,336.0,161.0,0.0009015518300473,0.0040607220062857,0.030019917478025,0.0810416202702273,0.176459617978639
2000,19,6.0,106.0,142.0,286.0,320.0,0.0003810425229526,0.0015602229698302,0.0135927456216467,0.045156625594929,0.153008229548823
2000,19,21.0,372.0,392.0,622.0,481.0,0.0006484633210927,0.0027876736921065,0.0208793250579594,0.0593538118166698,0.16013152340039
2000,20,12.0,265.0,228.0,266.0,162.0,0.0007212414640378,0.0040454561340816,0.0273781647399588,0.0641579493805966,0.177555640450556
2000,20,13.0,118.0,171.0,277.0,317.0,0.0008255921330639,0.0017368519852827,0.0163687288824056,0.0437356129013823,0.151573777396803
2000,20,25.0,383.0,399.0,543.0,479.0,0.000771980144158,0.0028701049034322,0.0212521701482801,0.0518153051711442,0.159465695860264
2000,21,8.0,230.0,222.0,338.0,155.0,0.0004808276426919,0.0035111506069388,0.0266576867204862,0.0815240108670739,0.169883483147137
2000,21,9.0,116.0,154.0,301.0,307.0,0.0005715637844289,0.0017074138160406,0.0147414283502366,0.0475249800841735,0.146792270223402
2000,21,17.0,346.0,376.0,639.0,462.0,0.0005249464980274,0.0025928362835184,0.020027107708655,0.0609760221074791,0.15380616176919
2000,22,16.0,254.0,238.0,270.0,143.0,0.0009616552853838,0.0038775315398367,0.0285789614390798,0.0651227305742898,0.156731213484133
2000,22,9.0,111.0,155.0,310.0,310.0,0.0005715637844289,0.0016338183929354,0.0148371519109524,0.0489459927777202,0.148226722375422
2000,22,25.0,365.0,393.0,580.0,453.0,0.000771980144158,0.0027352174667174,0.020932588642291,0.0553459981570233,0.150809937838621
2000,23,10.0,243.0,197.0,243.0,148.0,0.0006010345533649,0.0037096069455918,0.0236556949726837,0.0586104575168608,0.162211325843718
2000,23,7.0,107.0,136.0,310.0,300.0,0.0004445496101113,0.0015749420544513,0.0130184042573518,0.0489459927777202,0.143445215202022
2000,23,17.0,350.0,333.0,553.0,448.0,0.0005249464980274,0.002622811269455,0.0177367735823992,0.0527695465186791,0.149145368988305
2000,24,12.0,299.0,264.0,328.0,191.0,0.0007212414640378,0.0045644957890204,0.0317010328567944,0.079112057882841,0.209340292136149
2000,24,14.0,133.0,189.0,346.0,387.0,0.0008890992202227,0.0019576382545983,0.0180917529752903,0.0546300435519071,0.185044327610608
2000,24,26.0,432.0,453.0,674.0,578.0,0.0008028593499243,0.0032372984811559,0.0241284037021827,0.0643158668238512,0.192424159096519
2000,25,16.0,257.0,234.0,305.0,134.0,0.0009616552853838,0.003923329156449,0.0280986427594314,0.0735645660191052,0.14686701123688
2000,25,9.0,124.0,133.0,271.0,302.0,0.0005715637844289,0.001825166493009,0.0127312335752043,0.0427882711056845,0.144401516636702
2000,25,25.0,381.0,367.0,576.0,436.0,0.000771980144158,0.0028551174104639,0.0195477354496712,0.0549643016180094,0.145150403747547
2000,26,12.0,248.0,224.0,261.0,146.0,0.0007212414640378,0.0037859363066122,0.0268978460603104,0.0629519728884801,0.160019280899884
2000,26,10.0,94.0,148.0,296.0,266.0,0.0006350708715876,0.0013835939543778,0.0141670869859416,0.0467355285877587,0.127188090812459
2000,26,22.0,342.0,372.0,557.0,412.0,0.000679342526859,0.0025628612975818,0.0198140533713289,0.0531512430576931,0.137160473266031
2000,27,13.0,285.0,234.0,268.0,135.0,0.0007813449193743,0.0043507735781633,0.0280986427594314,0.0646403399774432,0.147963033708797
2000,27,11.0,107.0,137.0,264.0,263.0,0.0006985779587464,0.0015749420544513,0.0131141278180676,0.0416830390107037,0.125753638660439
2000,27,24.0,392.0,371.0,532.0,398.0,0.0007411009383916,0.0029375486217896,0.0197607897869973,0.0507656396888559,0.132499680485146
2000,28,13.0,282.0,218.0,289.0,141.0,0.0007813449193743,0.004304975961551,0.0261773680408378,0.0697054412443324,0.154539168540299
2000,28,6.0,113.0,163.0,270.0,303.0,0.0003810425229526,0.0016632565621775,0.015602940396679,0.0426303808064015,0.144879667354042
2000,28,19.0,395.0,381.0,559.0,444.0,0.00058670490956,0.0029600298612421,0.0202934256303126,0.0533420913272001,0.147813713908053
2000,29,13.0,262.0,251.0,276.0,130.0,0.0007813449193743,0.0039996585174694,0.0301399971479371,0.0665699023648296,0.142482921349212
2000,29,7.0,142.0,162.0,258.0,296.0,0.0004445496101113,0.0020901100161877,0.0155072168359632,0.0407356972150059,0.141532612332661
2000,29,20.0,404.0,413.0,534.0,426.0,0.0006175841153264,0.0030274735795995,0.0219978603289216,0.0509564879583628,0.141821266046915
2000,30,13.0,293.0,220.0,237.0,148.0,0.0007813449193743,0.0044729005557959,0.026417527380662,0.0571632857263211,0.162211325843718
2000,30,10.0,129.0,129.0,248.0,246.0,0.0006350708715876,0.0018987619161142,0.012348339332341,0.0391567942221762,0.117625076465658
2000,30,23.0,422.0,349.0,485.0,394.0,0.0007102217326253,0.0031623610163143,0.0185889909317037,0.0462807053554419,0.131168025404894
2000,31,19.0,271.0,213.0,281.0,131.0,0.0011419656513933,0.0041370513673061,0.0255769696912773,0.0677758788569461,0.143578943821129
2000,31,14.0,102.0,145.0,303.0,311.0,0.0008890992202227,0.0015013466313461,0.0138799163037942,0.0478407606827395,0.148704873092762
2000,31,33.0,373.0,358.0,584.0,442.0,0.0010190137902885,0.0027951674385906,0.0190683631906874,0.0557276946960373,0.147147886367926
2000,32,14.0,320.0,218.0,292.0,140.0,0.0008414483747108,0.0048850791053061,0.0261773680408378,0.0704290271396023,0.153443146068382
2000,32,6.0,129.0,139.0,285.0,266.0,0.0003810425229526,0.0018987619161142,0.0133055749394992,0.044998735295646,0.127188090812459
2000,32,20.0,449.0,357.0,577.0,406.0,0.0006175841153264,0.0033646921713866,0.0190150996063559,0.0550597257527629,0.135162990645652
2000,33,10.0,277.0,215.0,277.0,145.0,0.0006010345533649,0.0042286466005306,0.0258171290311015,0.0668110976632529,0.158923258427967
2000,33,3.0,128.0,155.0,297.0,274.0,0.0001905212614763,0.0018840428314931,0.0148371519109524,0.0468934188870416,0.13101329655118
2000,33,13.0,405.0,370.0,574.0,419.0,0.0004014296749621,0.0030349673260837,0.0197075262026658,0.0547734533485024,0.139490869656473
