Year,Week,0-14,15-64,65-74,75-84,85+,0-14.1,15-64.1,65-74.1,75-84.1,85+.1
2000,1,1,66,56,45,30,0.0003199918801458,0.004852661314636,0.0403387420001293,0.0980888327121506,0.260522709870387
2000,1,3,27,53,65,68,0.0010128661306598,0.0020442307875917,0.02642588893328,0.0619608784879346,0.204701397528937
2000,1,4,93,109,110,98,0.0006571412715082,0.0034690248778048,0.0321168931004588,0.0729531569734694,0.219070637813959
2000,2,1,80,66,44,36,0.0003199918801458,0.0058820137147103,0.0475420887858667,0.0959090808741028,0.312627251844465
2000,2,1,26,42,60,94,0.0003376220435532,0.0019685185361994,0.0209412704754295,0.0571946570657858,0.28296957893706
2000,2,2,106,108,104,130,0.0003285706357541,0.003953942333842,0.0318222427050417,0.0689738938658256,0.290603907304232
2000,3,0,74,65,64,34,0.0,0.005440862686107,0.0468217541072929,0.139504117635059,0.295259071186439
2000,3,0,21,42,83,84,0.0,0.001589957279238,0.0209412704754295,0.0791192756076703,0.252866432241628
2000,3,0,95,107,147,118,0.0,0.003543627563349,0.0315275923096247,0.0974919461372727,0.26377893124538
2000,4,2,69,67,45,31,0.0006399837602916,0.0050732368289376,0.0482624234644404,0.0980888327121506,0.2692068001994
2000,4,1,32,41,72,97,0.0003376220435532,0.0024227920445531,0.0204426687974431,0.0686335884789429,0.29200052294569
2000,4,3,101,108,117,128,0.0004928559536311,0.0037674356199815,0.0318222427050417,0.0775956305990538,0.28613307796109
2000,5,1,73,70,68,46,0.0003199918801458,0.0053673375146731,0.0504234275001616,0.14822312498725,0.399468155134594
2000,5,0,41,33,76,100,0.0,0.0031042023070837,0.0164538553735517,0.072446565616662,0.301031466954319
2000,5,1,114,103,144,146,0.000164285317877,0.0042523530760188,0.0303489907279565,0.0955023145834509,0.326370542049368
2000,6,2,77,73,54,24,0.0006399837602916,0.0056614382004087,0.0525844315358828,0.117706599254581,0.20841816789631
2000,6,3,39,55,84,81,0.0010128661306598,0.0029527778042992,0.0274230922892529,0.0800725198921001,0.243835488232998
2000,6,5,116,128,138,105,0.0008214265893852,0.0043269557615629,0.0377152506133828,0.0915230514758071,0.234718540514956
2000,7,1,68,57,48,37,0.0003199918801458,0.0049997116575037,0.041059076678703,0.104628088226294,0.321311342173477
2000,7,1,31,44,64,77,0.0003376220435532,0.0023470797931609,0.0219384738314023,0.0610076342035048,0.231794229554826
2000,7,2,99,101,112,114,0.0003285706357541,0.0036928329344373,0.0297596899371224,0.0742795780093507,0.254837272559096
2000,8,0,51,61,53,33,0.0,0.0037497837431278,0.043940415392998,0.115526847416533,0.286574980857426
2000,8,1,30,34,57,70,0.0003376220435532,0.0022713675417686,0.0169524570515381,0.0543349242124965,0.210722026868023
2000,8,1,81,95,110,103,0.000164285317877,0.0030214087645396,0.02799178756462,0.0729531569734694,0.230247711171814
2000,9,1,74,47,35,22,0.0003199918801458,0.005440862686107,0.0338557298929657,0.0762913143316727,0.191049987238284
2000,9,0,27,44,47,66,0.0,0.0020442307875917,0.0219384738314023,0.0448024813681989,0.198680768189851
2000,9,1,101,91,82,88,0.000164285317877,0.0037674356199815,0.0268131859829518,0.0543832624711317,0.196716491098249
2000,10,1,69,50,50,22,0.0003199918801458,0.0050732368289376,0.0360167339286869,0.10898759190239,0.191049987238284
2000,10,1,27,34,51,52,0.0003376220435532,0.0020442307875917,0.0169524570515381,0.0486154585059179,0.156536362816246
2000,10,2,96,84,101,74,0.0003285706357541,0.0035809289061211,0.0247506332150325,0.0669842623120037,0.165420685696255
2000,11,1,68,65,39,28,0.0003199918801458,0.0049997116575037,0.0468217541072929,0.0850103216838638,0.243154529212361
2000,11,2,24,34,60,53,0.0006752440871065,0.0018170940334148,0.0169524570515381,0.0571946570657858,0.159546677485789
2000,11,3,92,99,99,81,0.0004928559536311,0.0034317235350327,0.0291703891462882,0.0656578412761225,0.181068588397252
2000,12,1,46,64,32,32,0.0003199918801458,0.0033821578859584,0.0461014194287192,0.0697520588175293,0.277890890528413
2000,12,3,23,38,43,63,0.0010128661306598,0.0017413817820226,0.0189468637634838,0.0409895042304798,0.189649824181221
2000,12,4,69,102,75,95,0.0006571412715082,0.0025737926512745,0.0300543403325394,0.0497407888455473,0.212364393799246
2000,13,0,62,71,42,19,0.0,0.0045585606289005,0.0511437621787354,0.0915495771980072,0.164997716251245
2000,13,0,33,37,51,58,0.0,0.0024985042959454,0.0184482620854974,0.0486154585059179,0.174598250833505
2000,13,0,95,108,93,77,0.0,0.003543627563349,0.0318222427050417,0.0616785781684787,0.172126929710968
2000,14,1,66,59,40,19,0.0003199918801458,0.004852661314636,0.0424997460358505,0.0871900735219116,0.164997716251245
2000,14,1,21,40,47,56,0.0003376220435532,0.001589957279238,0.0199440671194566,0.0448024813681989,0.168577621494419
2000,14,2,87,99,87,75,0.0003285706357541,0.0032452168211722,0.0291703891462882,0.0576993150608349,0.167656100367826
2000,15,1,58,48,41,24,0.0003199918801458,0.0042644599431649,0.0345760645715394,0.0893698253599594,0.20841816789631
