patterns,Supp X,Supp Y,Supp Z
(1+4+6+8+)(2+3+7+8+),0.4,0.08,0.66
(1+4-)(6+7+9+),0.4,0.06,0.66
(1+4-)(3+7+8+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(1+4-)(1+9+)(5+9-),0.4,0.05,0.66
(1+4-)(1+4+6+),0.4,0.06,0.66
(1+4-)(5+9-)(3+7+8+)(2+3+7+8+),0.4,0.06,0.66
(1+4+)(3+6-),0.4,0.07,0.66
(1+4+)(3+7+8+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(1+4+)(5+9-)(3+7+8+)(2+3+7+8+),0.4,0.06,0.66
(1+4+)(6+7+9+),0.4,0.05,0.66
(1+4+)(1+9+),0.4,0.06,0.66
(1+4+)(1+4+6+),0.4,0.06,0.66
(3+4+6+8+),0.8,0.09,0.68
(5+8+)(6+7+9+),0.4,0.05,0.66
(1+2+6+7+)(2+3+7+8+)(3+4+8+9+),0.4,0.09,0.67
(1+2+8+),0.6,0.07,0.67
(1+)(3+6-),0.4,0.13,0.67
(1+)(3+7+8+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(1+)(5+9-)(3+7+8+)(2+3+7+8+),0.4,0.06,0.66
(1+)(6+7+9+),0.4,0.05,0.66
(1+)(1+9+),0.4,0.06,0.66
(1+)(1+4+6+),0.4,0.06,0.66
(2+4+7+8+9+),0.7,0.08,0.68
(1+4-6+)(1+4+6+),0.4,0.08,0.66
(1+4-6+)(6+7+9+),0.4,0.06,0.66
(1+4-6+)(3+7+8+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(1+3+4+6+)(2+3+7+8+)(3+4+8+9+),0.4,0.08,0.66
(1+4+6+7+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(5+9+)(6+7+9+),0.4,0.07,0.66
(5+9-)(3+7+8+)(2+3+7+8+),0.4,0.06,0.66
(5+9-)(1+4+6+),0.4,0.06,0.66
(1+3+6+)(6+7+9+),0.4,0.07,0.66
(1+3+6+)(3+7+8+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(1+3+6+)(1+4+6+),0.4,0.06,0.66
(1+2+6+8+),0.5,0.06,0.67
(1+2+9+),0.5,0.06,0.67
(2+)(3+6-),0.4,0.13,0.67
(2+)(3+7+8+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(2+)(5+9-)(3+7+8+)(2+3+7+8+),0.4,0.06,0.66
(2+)(6+7+9+),0.4,0.05,0.66
(2+)(1+9+),0.4,0.06,0.66
(2+)(1+4+6+),0.4,0.06,0.66
(2+3+6+7+),0.7,0.08,0.68
(3+7+9+)(2+3+7+8+),0.4,0.07,0.66
(2+3+)(3+6-),0.4,0.08,0.66
(2+3+)(3+7+8+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(2+3+)(5+9-)(3+7+8+)(2+3+7+8+),0.4,0.06,0.66
(2+3+)(6+7+9+),0.4,0.05,0.66
(2+3+)(1+4+6+),0.4,0.06,0.66
(2+4+9+)(6+7+9+),0.4,0.06,0.66
(2+4+9+)(3+7+8+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(7+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.08,0.67
(4+6+9+)(6+7+9+),0.4,0.06,0.66
(4+6+9+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(6+7+)(6+7+9+),0.4,0.07,0.66
(6+7+)(3+7+8+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(6+7+)(1+4+6+),0.4,0.06,0.66
(1+3+7+)(6+7+9+),0.4,0.06,0.66
(1+3+7+)(3+7+8+)(2+3+7+8+),0.4,0.06,0.66
(3+)(3+6-),0.4,0.14,0.67
(3+)(3+7+8+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(3+)(5+9-)(3+7+8+)(2+3+7+8+),0.4,0.06,0.66
(3+)(6+7+9+),0.4,0.05,0.66
(3+)(1+9+),0.4,0.06,0.66
(3+)(1+4+6+),0.4,0.06,0.66
(1+6+)(3+6-),0.4,0.1,0.67
(1+6+)(3+7+8+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(1+6+)(5+9-)(3+7+8+)(2+3+7+8+),0.4,0.06,0.66
(1+6+)(6+7+9+),0.4,0.05,0.66
(1+6+)(1+9+),0.4,0.06,0.66
(1+6+)(1+4+6+),0.4,0.06,0.66
(1+2+6+7+8+),0.5,0.06,0.67
(2+3+4+8+9+),0.7,0.08,0.68
(3+7+8+)(6+7+9+),0.4,0.07,0.66
(3+7+8+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(6+7+8+)(2+3+7+8+)(3+4+8+9+),0.4,0.08,0.67
(6+7+8+)(6+7+9+),0.4,0.06,0.66
(1+7-)(6+7+9+),0.4,0.06,0.66
(1+7-)(3+6-),0.4,0.05,0.66
(2+4+)(3+6-),0.4,0.07,0.66
(2+4+)(3+7+8+)(4+8+9+)(2+3+7+8+)(3+4+8+9+),0.4,0.06,0.66
(2+4+)(5+9-)(3+7+8+)(2+3+7+8+),0.4,0.06,0.66
(2+4+)(6+7+9+),0.4,0.05,0.66
(2+4+)(1+4+6+),0.4,0.06,0.66
(4+6+8+)(2+3+7+8+),0.4,0.08,0.66
(2+4+8+9+),0.7,0.08,0.68
(6+8+)(6+7+9+),0.4,0.07,0.66
