patterns,Supp X,Supp Y,Supp Z
(3+4+6+8+),1.0,0.12,0.69
(5+8+)(1+2+9+)(1+2+3+9+),0.4,0.07,0.66
(5+8+)(7+9+),0.4,0.08,0.66
(1+2+6+7+),1.0,0.18,0.69
(2+6+7+8+9+),0.8,0.09,0.68
(1+7+9+)(1+2+3+9+),0.4,0.07,0.66
(0+5+6+)(1+2+3+9+),0.4,0.06,0.66
(0+4+9+),0.5,0.05,0.67
(2+3+6+8+),1.0,0.17,0.69
(1+2+3+6+7+9+),0.7,0.08,0.68
(3+4+6+7+),1.0,0.12,0.69
(5+9+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(5+9+)(7+9+),0.4,0.08,0.66
(1+2+6+8+),1.0,0.18,0.69
(2+3+6+7+),1.0,0.17,0.69
(1+2+3+6+7+8+),1.0,0.17,0.69
(1+2+3+6+7+8+9+),0.7,0.08,0.68
(1+8+9+)(1+2+3+9+),0.4,0.07,0.66
(4+6+9+)(1+2+3+9+),0.4,0.09,0.67
(6+7+)(1+2+9+)(1+2+3+9+),0.4,0.1,0.67
(6+7+)(7+9+),0.4,0.09,0.67
(1+2+6+9+),0.8,0.09,0.68
(0+1+5+6+)(1+2+3+9+),0.4,0.06,0.66
(1+2+6+7+8+),1.0,0.18,0.69
(2+3+4+8+9+),1.0,0.16,0.69
(4+6+8+)(1+2+3+9+),0.4,0.08,0.67
(2+4+8+9+),1.0,0.16,0.69
(6+8+)(1+2+9+)(1+2+3+9+),0.4,0.09,0.67
(6+8+)(7+9+),0.4,0.09,0.67
(4+6+7+)(1+2+3+9+),0.4,0.08,0.67
(1+3+8+9+),0.7,0.08,0.68
(2+3+6+9+),0.7,0.08,0.68
(1+2+6+7+9+),0.8,0.09,0.68
(1+2+3+8+9+),0.7,0.08,0.68
(2+4+7+9+),1.0,0.17,0.69
(4+7+8+)(1+2+3+9+),0.4,0.13,0.67
(2+3+7+9+),1.0,0.18,0.69
(0+2+7+8+)(1+2+3+9+),0.4,0.08,0.66
(6+9+)(1+2+9+)(1+2+3+9+),0.4,0.08,0.67
(6+9+)(7+9+),0.4,0.08,0.67
(3+4+7+)(1+2+3+9+),0.4,0.13,0.67
(0+7-8-)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(5+7+8+)(1+2+3+9+),0.4,0.08,0.67
(3+4+6+)(1+2+3+9+),0.4,0.09,0.67
(2+3+7+8+),1.0,0.44,0.7
(1+2+3+6+8+9+),0.7,0.08,0.68
(1+6+7+9+),0.8,0.09,0.68
(2+3+4+7+8+),1.0,0.21,0.69
(7+8+)(1+2+9+)(1+2+3+9+),0.4,0.19,0.67
(7+8+)(7+9+),0.4,0.14,0.67
(1+3+7+8+9+),0.7,0.08,0.68
(2+4+7+8+),1.0,0.21,0.69
(4+7+9+)(1+2+3+9+),0.4,0.11,0.67
(1+6+7+8+),1.0,0.18,0.69
(2+3+4+7+9+),1.0,0.16,0.69
(7+9+)(1+2+9+)(1+2+3+9+),0.4,0.09,0.67
(1+2+3+7+8+),1.0,0.17,0.69
(2+4+6+8+),1.0,0.12,0.69
(1+2+8+9+),0.8,0.09,0.68
(2+3+7+8+9+),1.0,0.18,0.69
(0+7+8+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(1+2+3+4+6+7+8+),1.0,0.12,0.69
(2+3+8+9+),1.0,0.18,0.69
(2+8+9+)(1+2+3+9+),0.4,0.11,0.67
(4+6+7+8+),1.0,0.12,0.69
(1+3+6+7+9+),0.7,0.08,0.68
(2+3+4+6+7+),1.0,0.12,0.69
(1+2+4+6+7+8+),1.0,0.12,0.69
(0+1+)(1+2+9+)(1+2+3+9+),0.4,0.08,0.66
(0+1+)(3+5+),0.4,0.06,0.66
(0+1+)(7+9+),0.4,0.07,0.66
(0+1+)(4+5-),0.4,0.06,0.66
(2+7+8+)(1+2+3+9+),0.4,0.25,0.67
(2+7+9+)(1+2+3+9+),0.4,0.11,0.67
(2+3+4+7+8+9+),1.0,0.16,0.69
(1+3+6+8+9+),0.7,0.08,0.68
(8+9+)(1+2+9+)(1+2+3+9+),0.4,0.09,0.67
(2+4+6+7+),1.0,0.12,0.69
(2+3+4+6+8+),1.0,0.12,0.69
(0+2+)(1+2+9+)(1+2+3+9+),0.4,0.07,0.66
(0+2+)(3+5+),0.4,0.06,0.66
(0+2+)(7+9+),0.4,0.07,0.66
(0+2+)(4+5-),0.4,0.06,0.66
(1+2+3+7+9+),0.7,0.08,0.68
(2+7+8+9+),1.0,0.18,0.69
(6+7+8+9+),1.0,0.13,0.69
(1+3+4+7+8+),1.0,0.12,0.69
(1+2+3+)(1+2+9+)(1+2+3+9+),0.4,0.1,0.67
(0+3+)(1+2+9+)(1+2+3+9+),0.4,0.07,0.66
(0+3+)(3+5+),0.4,0.06,0.66
(0+3+)(7+9+),0.4,0.07,0.66
(0+3+)(4+5-),0.4,0.06,0.66
(1+2+3+6+7+),1.0,0.17,0.69
(2+6+9+)(1+2+3+9+),0.4,0.07,0.66
(1+2+7+8+),1.0,0.18,0.69
(1+2+4+)(1+2+9+)(1+2+3+9+),0.4,0.07,0.66
(1+4+7+8+),1.0,0.12,0.69
(0+4-),0.5,0.05,0.67
(0+4+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(0+4+)(3+5+),0.4,0.05,0.66
(0+4+)(7+9+),0.4,0.07,0.66
(0+4+)(4+5-),0.4,0.06,0.66
(1+7+8+9+),0.8,0.09,0.68
(3+4+6+7+8+),1.0,0.12,0.69
(1+2+7+9+),0.8,0.09,0.68
(1+2+3+6+9+),0.7,0.08,0.68
(1+2+)(1+2+9+)(1+2+3+9+),0.4,0.1,0.67
(1+2+)(3+5+),0.4,0.07,0.66
(1+2+)(7+9+),0.4,0.08,0.66
(1+2+)(4+5-),0.4,0.06,0.66
(0+5+)(1+2+9+)(1+2+3+9+),0.4,0.11,0.67
(0+5+)(3+5+),0.4,0.07,0.66
(0+5+)(7+9+),0.4,0.08,0.67
(0+5+)(4+5-),0.4,0.06,0.66
(2+6+7+)(1+2+3+9+),0.4,0.11,0.67
(1+2+6+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(1+2+6+8+9+),0.8,0.09,0.68
(1+3+6+7+8+),1.0,0.17,0.69
(1+4+6+9+),1.0,0.14,0.69
(1+2+3+6+8+),1.0,0.17,0.69
(0+6-)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(0+6-)(7+9+),0.4,0.07,0.66
(0+6-)(4+5-),0.4,0.06,0.66
(1+3+)(1+2+9+)(1+2+3+9+),0.4,0.1,0.67
(1+3+)(3+5+),0.4,0.07,0.66
(1+3+)(7+9+),0.4,0.08,0.66
(1+3+)(4+5-),0.4,0.06,0.66
(0+6+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(0+6+)(3+5+),0.4,0.05,0.66
(0+6+)(7+9+),0.4,0.07,0.66
(0+6+)(4+5-),0.4,0.06,0.66
(2+6+8+)(1+2+3+9+),0.4,0.11,0.67
(1+2+7+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(5+6+7+8+),0.5,0.05,0.67
(3+6+7+8+9+),0.7,0.08,0.68
(1+3+4+)(1+2+3+9+),0.4,0.09,0.67
(0+)(1+2+9+)(1+2+3+9+),0.4,0.14,0.67
(0+)(3+5+),0.4,0.09,0.67
(0+)(7+9+),0.4,0.09,0.67
(0+)(4+5-),0.4,0.07,0.66
(1+4+6+8+),1.0,0.12,0.69
(1+4-),0.9,0.1,0.68
(0+7-)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(0+7-)(3+5+),0.4,0.05,0.66
(0+7-)(7+9+),0.4,0.07,0.66
(0+7-)(4+5-),0.4,0.06,0.66
(1+4+)(1+2+9+)(1+2+3+9+),0.4,0.08,0.66
(1+4+)(3+5+),0.4,0.06,0.66
(1+4+)(7+9+),0.4,0.07,0.66
(1+4+)(4+5-),0.4,0.06,0.66
(0+2+3+7+)(1+2+3+9+),0.4,0.07,0.66
(0+1+2+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(0+2+3+8+)(1+2+3+9+),0.4,0.07,0.66
(1+2+8+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(1+2+3+4+7+8+),1.0,0.12,0.69
(0+7+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(0+7+)(3+5+),0.4,0.05,0.66
(0+7+)(7+9+),0.4,0.07,0.66
(0+7+)(4+5-),0.4,0.06,0.66
(1+)(1+2+9+)(1+2+3+9+),0.4,0.26,0.67
(1+)(3+5+),0.4,0.15,0.67
(1+)(7+9+),0.4,0.12,0.67
(1+)(4+5-),0.4,0.08,0.67
(1+4-6+),0.9,0.1,0.68
(2+4+7+8+9+),1.0,0.16,0.69
(1+3+4+6+),1.0,0.13,0.69
(1+4+6+7+),1.0,0.12,0.69
(1+5-),0.5,0.05,0.67
(1+2+3+4+8+),1.0,0.12,0.69
(0+8-)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(0+8-)(3+5+),0.4,0.05,0.66
(0+8-)(7+9+),0.4,0.07,0.66
(0+8-)(4+5-),0.4,0.06,0.66
(1+5+)(1+2+3+9+),0.4,0.06,0.66
(0+1+3+)(1+2+9+)(1+2+3+9+),0.4,0.05,0.66
(1+3+6+)(1+2+3+9+),0.4,0.11,0.67
(1+2+4+7+8+),1.0,0.12,0.69
(1+2+9+)(1+2+3+9+),0.4,0.07,0.66
(0+8+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(0+8+)(3+5+),0.4,0.05,0.66
(0+8+)(7+9+),0.4,0.07,0.66
(0+8+)(4+5-),0.4,0.06,0.66
(2+)(1+2+9+)(1+2+3+9+),0.4,0.23,0.67
(2+)(3+5+),0.4,0.14,0.67
(2+)(7+9+),0.4,0.11,0.67
(2+)(4+5-),0.4,0.08,0.66
(1+3+4+7+),1.0,0.12,0.69
(3+7+9+)(1+2+3+9+),0.4,0.11,0.67
(2+3+)(1+2+9+)(1+2+3+9+),0.4,0.2,0.67
(2+3+)(3+5+),0.4,0.12,0.67
(2+3+)(7+9+),0.4,0.1,0.67
(2+3+)(4+5-),0.4,0.07,0.66
(2+4+9+)(1+2+3+9+),0.4,0.11,0.67
(7+8+9+)(1+2+3+9+),0.4,0.13,0.67
(1+3+7+)(1+2+3+9+),0.4,0.11,0.67
(3+6+7+9+),0.7,0.08,0.68
(2+3+6+7+9+),0.7,0.08,0.68
(3+)(1+2+9+)(1+2+3+9+),0.4,0.23,0.67
(3+)(3+5+),0.4,0.14,0.67
(3+)(7+9+),0.4,0.11,0.67
(3+)(4+5-),0.4,0.08,0.66
(0+9-)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(0+9-)(3+5+),0.4,0.05,0.66
(0+9-)(7+9+),0.4,0.07,0.66
(0+9-)(4+5-),0.4,0.06,0.66
(1+6+)(1+2+9+)(1+2+3+9+),0.4,0.18,0.67
(1+6+)(3+5+),0.4,0.11,0.67
(1+6+)(7+9+),0.4,0.1,0.67
(1+6+)(4+5-),0.4,0.07,0.66
(0+9+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(0+9+)(7+9+),0.4,0.07,0.66
(0+9+)(4+5-),0.4,0.06,0.66
(1+2+6+7+8+9+),0.8,0.09,0.68
(3+7+8+)(1+2+3+9+),0.4,0.24,0.67
(6+7+8+)(1+2+3+9+),0.4,0.14,0.67
(1+7-)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(1+7-)(3+5+),0.4,0.05,0.66
(1+7-)(7+9+),0.4,0.07,0.66
(1+7-)(4+5-),0.4,0.06,0.66
(2+4+)(1+2+9+)(1+2+3+9+),0.4,0.09,0.67
(2+4+)(3+5+),0.4,0.07,0.66
(2+4+)(7+9+),0.4,0.08,0.66
(2+4+)(4+5-),0.4,0.06,0.66
(3+6+7+8+),1.0,0.17,0.69
(1+3+8+)(1+2+3+9+),0.4,0.11,0.67
(2+3+6+7+8+),1.0,0.17,0.69
(1+2+3+4+6+8+),1.0,0.12,0.69
(4+)(1+2+9+)(1+2+3+9+),0.4,0.22,0.67
(4+)(3+5+),0.4,0.13,0.67
(4+)(7+9+),0.4,0.11,0.67
(4+)(4+5-),0.4,0.08,0.66
(1+7+)(1+2+9+)(1+2+3+9+),0.4,0.08,0.66
(1+7+)(3+5+),0.4,0.06,0.66
(1+7+)(7+9+),0.4,0.07,0.66
(1+7+)(4+5-),0.4,0.06,0.66
(2+5-)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(2+5-)(7+9+),0.4,0.07,0.66
(2+5-)(4+5-),0.4,0.06,0.66
(2+4+7+)(1+2+3+9+),0.4,0.14,0.67
(0+2+3+)(1+2+9+)(1+2+3+9+),0.4,0.07,0.66
(1+4+6+)(1+2+3+9+),0.4,0.11,0.67
(5+)(1+2+9+)(1+2+3+9+),0.4,0.14,0.67
(5+)(3+5+),0.4,0.09,0.67
(5+)(7+9+),0.4,0.09,0.67
(5+)(4+5-),0.4,0.07,0.66
(0+1+6+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(1+3+9+)(1+2+3+9+),0.4,0.07,0.66
(1+2+3+4+6+7+),1.0,0.12,0.69
(2+5+),0.5,0.05,0.67
(1+8-)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(1+8-)(7+9+),0.4,0.07,0.66
(1+8-)(4+5-),0.4,0.06,0.66
(1+3+4+6+8+),1.0,0.12,0.69
(1+8+)(1+2+9+)(1+2+3+9+),0.4,0.08,0.66
(1+8+)(3+5+),0.4,0.06,0.66
(1+8+)(7+9+),0.4,0.07,0.66
(1+8+)(4+5-),0.4,0.06,0.66
(2+6-)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(2+6-)(3+5+),0.4,0.05,0.66
(2+6-)(7+9+),0.4,0.07,0.66
(2+6-)(4+5-),0.4,0.06,0.66
(2+4+8+)(1+2+3+9+),0.4,0.13,0.67
(3+7+8+9+),1.0,0.18,0.69
(1+3+4+6+7+8+),1.0,0.12,0.69
(6+)(1+2+9+)(1+2+3+9+),0.4,0.26,0.67
(6+)(3+5+),0.4,0.15,0.67
(6+)(7+9+),0.4,0.12,0.67
(6+)(4+5-),0.4,0.08,0.67
(1+4+7+)(1+2+3+9+),0.4,0.08,0.67
(1+9-)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(1+9-)(3+5+),0.4,0.05,0.66
(1+9-)(7+9+),0.4,0.07,0.66
(1+9-)(4+5-),0.4,0.06,0.66
(2+6+)(1+2+9+)(1+2+3+9+),0.4,0.08,0.66
(2+6+)(3+5+),0.4,0.06,0.66
(2+6+)(7+9+),0.4,0.07,0.66
(2+6+)(4+5-),0.4,0.06,0.66
(0+3+7+8+)(1+2+3+9+),0.4,0.07,0.66
(1+9+)(1+2+9+)(1+2+3+9+),0.4,0.07,0.66
(1+9+)(3+5+),0.4,0.06,0.66
(1+9+)(7+9+),0.4,0.07,0.66
(1+9+)(4+5-),0.4,0.06,0.66
(1+2+3+4+7+),1.0,0.12,0.69
(2+3+8+)(1+2+3+9+),0.4,0.24,0.67
(7+)(1+2+9+)(1+2+3+9+),0.4,0.23,0.67
(7+)(3+5+),0.4,0.14,0.67
(7+)(7+9+),0.4,0.11,0.67
(7+)(4+5-),0.4,0.08,0.66
(1+4+8+)(1+2+3+9+),0.4,0.08,0.67
(3+4+)(1+2+9+)(1+2+3+9+),0.4,0.09,0.67
(3+4+)(3+5+),0.4,0.07,0.66
(3+4+)(7+9+),0.4,0.08,0.66
(3+4+)(4+5-),0.4,0.06,0.66
(2+7+)(1+2+9+)(1+2+3+9+),0.4,0.16,0.67
(2+7+)(3+5+),0.4,0.1,0.67
(2+7+)(7+9+),0.4,0.09,0.67
(2+7+)(4+5-),0.4,0.07,0.66
(1+3+4+8+),1.0,0.12,0.69
(1+4+6+7+8+),1.0,0.12,0.69
(3+8+9+)(1+2+3+9+),0.4,0.11,0.67
(1+2+3+4+6+),1.0,0.13,0.69
(3+5-)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(3+5-)(7+9+),0.4,0.07,0.66
(3+5-)(4+5-),0.4,0.06,0.66
(2+3+9+)(1+2+3+9+),0.4,0.11,0.67
(2+4+6+)(1+2+3+9+),0.4,0.09,0.67
(1+4+9+)(1+2+3+9+),0.4,0.09,0.67
(1+5+6+)(1+2+3+9+),0.4,0.06,0.66
(8+)(1+2+9+)(1+2+3+9+),0.4,0.23,0.67
(8+)(3+5+),0.4,0.14,0.67
(8+)(7+9+),0.4,0.11,0.67
(8+)(4+5-),0.4,0.08,0.66
(0+1+5+)(1+2+3+9+),0.4,0.06,0.66
(3+6+8+9+),0.7,0.08,0.68
(3+5+),0.7,0.07,0.68
(1+3+4+6+7+),1.0,0.12,0.69
(0+2+3+7+8+),0.9,0.1,0.68
(2+8+)(1+2+9+)(1+2+3+9+),0.4,0.15,0.67
(2+8+)(3+5+),0.4,0.09,0.67
(2+8+)(7+9+),0.4,0.09,0.67
(2+8+)(4+5-),0.4,0.07,0.66
(2+3+6-)(1+2+3+9+),0.4,0.07,0.66
(4+8+9+)(1+2+3+9+),0.4,0.11,0.67
(1+3+6+7+8+9+),0.7,0.08,0.68
(2+3+6+)(1+2+3+9+),0.4,0.11,0.67
(9+)(1+2+9+)(1+2+3+9+),0.4,0.22,0.67
(9+)(3+5+),0.4,0.13,0.67
(9+)(7+9+),0.4,0.11,0.67
(9+)(4+5-),0.4,0.08,0.66
(1+2+3+8+)(1+2+3+9+),0.4,0.11,0.67
(0+2+7+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(3+6-)(7+9+),0.4,0.09,0.67
(3+6-)(4+5-),0.4,0.07,0.66
(3+6-)(1+2+3+9+),0.4,0.06,0.66
(1+3+6+8+),1.0,0.17,0.69
(2+3+4+6+),1.0,0.13,0.69
(5+6+8+),0.5,0.05,0.67
(3+6+)(1+2+9+)(1+2+3+9+),0.4,0.08,0.66
(3+6+)(7+9+),0.4,0.08,0.67
(3+6+)(4+5-),0.4,0.06,0.66
(2+9+)(1+2+9+)(1+2+3+9+),0.4,0.08,0.66
(2+9+)(3+5+),0.4,0.06,0.66
(2+9+)(7+9+),0.4,0.07,0.66
(2+9+)(4+5-),0.4,0.06,0.66
(1+6+7+8+9+),0.8,0.09,0.68
(1+2+7+8+9+),0.8,0.09,0.68
(2+3+7+)(1+2+3+9+),0.4,0.25,0.67
(3+4+8+9+),1.0,0.17,0.69
(1+2+3+9+),0.8,0.09,0.68
(1+2+4+6+),1.0,0.13,0.69
(2+6+7+8+),1.0,0.18,0.69
(5+6+7+),0.5,0.06,0.67
(0+2+8+)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(1+3+6+9+),0.7,0.08,0.68
(3+7+)(1+2+9+)(1+2+3+9+),0.4,0.15,0.67
(3+7+)(7+9+),0.4,0.12,0.67
(3+7+)(4+5-),0.4,0.08,0.67
(2+3+4+)(1+2+3+9+),0.4,0.14,0.67
(1+2+4+7+),1.0,0.12,0.69
(4+5-)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(4+5-)(7+9+),0.4,0.07,0.66
(0+2+5+),0.5,0.05,0.67
(3+8+)(1+2+9+)(1+2+3+9+),0.4,0.16,0.67
(3+8+)(7+9+),0.4,0.12,0.67
(3+8+)(4+5-),0.4,0.08,0.67
(3+4+9+)(1+2+3+9+),0.4,0.11,0.67
(2+3+4+8+),1.0,0.21,0.69
(1+2+3+7+8+9+),0.7,0.08,0.68
(2+3+5-)(1+2+3+9+),0.4,0.07,0.66
(1+7-8-)(1+2+3+9+),0.4,0.07,0.66
(1+2+4+8+),1.0,0.12,0.69
(3+4+7+8+9+),1.0,0.16,0.69
(4+6+)(1+2+9+)(1+2+3+9+),0.4,0.08,0.66
(4+6+)(7+9+),0.4,0.08,0.67
(4+6-)(1+2+9+)(1+2+3+9+),0.4,0.06,0.66
(4+6-)(7+9+),0.4,0.08,0.66
(1+6+7+)(1+2+3+9+),0.4,0.11,0.67
(1+6+8+9+),0.8,0.09,0.68
(1+3+6+7+),1.0,0.17,0.69
(2+3+4+7+),1.0,0.22,0.69
(3+9+)(1+2+9+)(1+2+3+9+),0.4,0.08,0.67
(3+9+)(7+9+),0.4,0.08,0.67
(3+9+)(4+5-),0.4,0.06,0.66
(3+4+8+)(1+2+3+9+),0.4,0.13,0.67
(6+7+9+)(1+2+3+9+),0.4,0.09,0.67
(3+4+7+9+),1.0,0.16,0.69
(4+7+)(1+2+9+)(1+2+3+9+),0.4,0.09,0.67
(4+7+)(7+9+),0.4,0.09,0.67
(1+2+4+6+8+),1.0,0.12,0.69
(1+6+8+)(1+2+3+9+),0.4,0.11,0.67
(0+3+8+)(1+2+9+)(1+2+3+9+),0.4,0.05,0.66
(1+3+7+9+),0.7,0.08,0.68
(3+6+9+)(1+2+3+9+),0.4,0.06,0.66
(3+4+7+8+),1.0,0.21,0.69
(1+2+3+4+)(1+2+3+9+),0.4,0.09,0.67
(2+4+6+7+8+),1.0,0.12,0.69
(4+8+)(1+2+9+)(1+2+3+9+),0.4,0.09,0.67
(4+8+)(7+9+),0.4,0.09,0.67
(1+2+4+6+7+),1.0,0.12,0.69
(1+6+9+)(1+2+3+9+),0.4,0.1,0.67
(2+6+8+9+),0.8,0.09,0.68
(3+6+8+)(1+2+3+9+),0.4,0.11,0.67
(2+3+4+9+),1.0,0.16,0.69
(2+3+4+6+7+8+),1.0,0.12,0.69
(2+6+7+9+),0.8,0.09,0.68
(4+9+)(1+2+9+)(1+2+3+9+),0.4,0.12,0.67
(4+9+)(7+9+),0.4,0.1,0.67
(0+1+2+3+)(1+2+3+9+),0.4,0.08,0.66
(5+6+)(1+2+9+)(1+2+3+9+),0.4,0.07,0.66
(5+6+)(7+9+),0.4,0.08,0.66
