patterns,Supp X,Supp Y,Supp Z
(1+4-)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(1+4-)(2+4-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
(1+4-)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+4-)(3+6+)(1+3+6+),0.4,0.06,0.66
(1+4-)(3+4+8+),0.4,0.06,0.66
(1+4-)(1+4+9+),0.4,0.05,0.66
(1+4-)(2+7+9+),0.5,0.06,0.67
(1+4-)(4+7-),0.4,0.05,0.66
(1+4+)(3+4-8+)(6+7+9+),0.4,0.07,0.66
(1+4+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
(1+4+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+4+)(3+6+)(1+3+6+),0.4,0.06,0.66
(1+4+)(3+4+8+),0.4,0.06,0.66
(1+4+)(1+4+9+),0.4,0.05,0.66
(1+4+)(2+7+9+),0.5,0.06,0.67
(1+4+)(4+7-),0.4,0.05,0.66
(4+8+9+)(1+2+6+7+),0.4,0.09,0.67
(4+8+9+)(6+7+9+),0.5,0.07,0.67
(2+4-7+)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(2+4-7+)(3+4+8+),0.4,0.07,0.66
(2+4-7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(2+4-7+)(2+7+9+),0.5,0.06,0.67
(9+)(3+4-8+)(6+7+9+),0.4,0.23,0.67
(9+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.06,0.66
(9+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(9+)(3+6+)(1+3+6+),0.4,0.06,0.66
(9+)(3+4+8+),0.4,0.06,0.66
(9+)(1+4+9+),0.4,0.05,0.66
(9+)(2+7+9+),0.5,0.06,0.67
(9+)(4+7-),0.4,0.05,0.66
(1+2+6+7+),1.0,0.13,0.69
(3+6-)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(3+6-)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(3+6-)(3+6+)(1+3+6+),0.4,0.06,0.66
(3+6-)(3+4+8+),0.4,0.06,0.66
(3+6-)(2+4-7+),0.4,0.06,0.66
(3+6-)(1+4+9+),0.4,0.05,0.66
(3+6-)(1+3+4+),0.5,0.05,0.67
(3+6-)(2+7+9+),0.5,0.06,0.67
(3+6-)(4+7-),0.4,0.05,0.66
(1+3+6+8+),1.0,0.14,0.69
(1+)(3+4-8+)(6+7+9+),0.4,0.17,0.67
(1+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
(1+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+)(3+6+)(1+3+6+),0.4,0.06,0.66
(1+)(3+4+8+),0.4,0.06,0.66
(1+)(1+4+9+),0.4,0.05,0.66
(1+)(2+7+9+),0.5,0.06,0.67
(1+)(4+7-),0.4,0.05,0.66
(2+9-)(3+6+)(1+3+6+),0.4,0.07,0.66
(2+9-)(3+4+8+),0.4,0.07,0.66
(2+9-)(1+4+9+),0.4,0.05,0.66
(2+9-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
(2+9-)(2+7+9+),0.4,0.05,0.66
(2+9-)(4+7-),0.4,0.05,0.66
(3+6+)(3+4-8+)(6+7+9+),0.4,0.07,0.66
(3+6+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(3+6+)(3+4+8+),0.4,0.06,0.66
(3+6+)(2+4-7+),0.4,0.05,0.66
(3+6+)(1+4+9+),0.4,0.05,0.66
(3+6+)(1+3+4+),0.5,0.05,0.67
(3+6+)(1+3+6+),0.4,0.05,0.66
(3+6+)(2+7+9+),0.5,0.06,0.67
(3+6+)(4+7-),0.4,0.05,0.66
(1+4-6+)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(1+4-6+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+4-6+)(3+4+8+),0.4,0.06,0.66
(1+4-6+)(2+4-7+),0.4,0.05,0.66
(1+4-6+)(1+4+9+),0.4,0.05,0.66
(1+4-6+)(2+7+9+),0.5,0.06,0.67
(2+9+)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(2+9+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(2+9+)(3+6+)(1+3+6+),0.4,0.06,0.66
(2+9+)(3+4+8+),0.4,0.06,0.66
(2+9+)(2+4-7+),0.4,0.06,0.66
(2+9+)(1+4+9+),0.4,0.05,0.66
(2+9+)(1+3+4+),0.5,0.05,0.67
(2+9+)(2+7+9+),0.5,0.06,0.67
(2+9+)(4+7-),0.4,0.05,0.66
(2+3+7+)(3+4-8+)(6+7+9+),0.4,0.07,0.66
(2+3+7+)(2+6+7+)(1+2+6+7+),0.4,0.06,0.66
(2+3+7+)(3+4+8+),0.4,0.06,0.66
(2+3+7+)(2+4-7+),0.4,0.06,0.66
(2+3+7+)(2+7+9+),0.5,0.06,0.67
(3+4+8+9+),1.0,0.13,0.69
(1+3+6+)(3+4-8+)(6+7+9+),0.4,0.07,0.66
(1+3+6+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+3+6+)(3+4+8+),0.4,0.06,0.66
(1+3+6+)(2+4-7+),0.4,0.05,0.66
(1+3+6+)(1+4+9+),0.4,0.05,0.66
(1+3+6+)(2+7+9+),0.5,0.06,0.67
(2+)(3+4-8+)(6+7+9+),0.4,0.18,0.67
(2+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.06,0.66
(2+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(2+)(3+6+)(1+3+6+),0.4,0.06,0.66
(2+)(3+4+8+),0.4,0.06,0.66
(2+)(1+4+9+),0.4,0.05,0.66
(2+)(2+7+9+),0.5,0.06,0.67
(2+)(4+7-),0.4,0.05,0.66
(3+7-)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(3+7-)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(3+7-)(3+4+8+),0.4,0.06,0.66
(3+7-)(2+4-7+),0.4,0.05,0.66
(3+7-)(1+4+9+),0.4,0.05,0.66
(3+7-)(1+3+4+),0.5,0.05,0.67
(3+7-)(1+3+6+),0.4,0.05,0.66
(3+7-)(2+7+9+),0.5,0.06,0.67
(3+7-)(4+7-),0.4,0.05,0.66
(3+7+)(3+4-8+)(6+7+9+),0.4,0.07,0.66
(3+7+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(3+7+)(3+4+8+),0.4,0.06,0.66
(3+7+)(2+4-7+),0.4,0.05,0.66
(3+7+)(1+4+9+),0.4,0.05,0.66
(3+7+)(1+3+4+),0.5,0.05,0.67
(3+7+)(1+3+6+),0.4,0.05,0.66
(3+7+)(2+7+9+),0.5,0.06,0.67
(3+7+)(4+7-),0.4,0.05,0.66
(2+3+4+)(3+4-8+)(6+7+9+),0.4,0.05,0.66
(2+3+4+)(2+7+9+),0.4,0.05,0.66
(2+3+)(3+4-8+)(6+7+9+),0.4,0.08,0.67
(2+3+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
(2+3+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(2+3+)(3+6+)(1+3+6+),0.4,0.06,0.66
(2+3+)(3+4+8+),0.4,0.06,0.66
(2+3+)(1+4+9+),0.4,0.05,0.66
(2+3+)(2+7+9+),0.5,0.06,0.67
(2+3+)(4+7-),0.4,0.05,0.66
(2+7+8+)(3+4-8+)(6+7+9+),0.4,0.07,0.66
(2+7+8+)(3+4+8+),0.4,0.07,0.66
(2+7+8+)(1+2+6+7+),0.4,0.06,0.66
(2+7+8+)(2+7+9+),0.5,0.06,0.67
(2+4+9+)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(2+4+9+)(3+4+8+),0.4,0.06,0.66
(2+4+9+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(2+4+9+)(2+7+9+),0.5,0.06,0.67
(7+8+9+)(1+2+6+7+),0.4,0.08,0.67
(4+6+9+)(1+2+6+7+),0.4,0.08,0.67
(4+6+9+)(6+7+9+),0.5,0.07,0.67
(6+7+)(1+3+4+)(2+4-7+),0.4,0.09,0.67
(6+7+)(1+3+4+)(6+7+9+),0.4,0.06,0.66
(6+7+)(3+4-8+),0.4,0.05,0.66
(6+7+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(6+7+)(3+4+8+),0.4,0.06,0.66
(6+7+)(1+3+6+),0.4,0.06,0.66
(6+7+)(2+7+9+),0.5,0.06,0.67
(2+7+9+)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(2+7+9+)(3+4+8+),0.4,0.07,0.66
(2+7+9+)(1+2+6+7+),0.4,0.06,0.66
(3+)(3+4-8+)(6+7+9+),0.4,0.19,0.67
(3+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.06,0.66
(3+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(3+)(3+6+)(1+3+6+),0.4,0.06,0.66
(3+)(3+4+8+),0.4,0.06,0.66
(3+)(1+4+9+),0.4,0.05,0.66
(3+)(2+7+9+),0.5,0.06,0.67
(3+)(4+7-),0.4,0.05,0.66
(1+6+)(3+4-8+)(6+7+9+),0.4,0.12,0.67
(1+6+)(2+4-)(1+3+4+)(2+4-7+),0.4,0.05,0.66
(1+6+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+6+)(3+6+)(1+3+6+),0.4,0.06,0.66
(1+6+)(3+4+8+),0.4,0.06,0.66
(1+6+)(1+4+9+),0.4,0.05,0.66
(1+6+)(2+7+9+),0.5,0.06,0.67
(1+6+)(4+7-),0.4,0.05,0.66
(3+8+)(1+3+4+)(2+4-7+),0.4,0.14,0.67
(3+8+)(1+3+4+)(6+7+9+),0.4,0.09,0.67
(3+8+)(3+4-8+)(6+7+9+),0.4,0.05,0.66
(3+8+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(3+8+)(3+4+8+),0.4,0.06,0.66
(3+8+)(1+3+6+),0.4,0.06,0.66
(3+8+)(2+7+9+),0.5,0.06,0.67
(3+8+)(4+7-),0.4,0.05,0.66
(3+4+9+)(1+2+6+7+),0.4,0.09,0.67
(3+4+9+)(6+7+9+),0.5,0.07,0.67
(8+9+)(1+3+4+)(2+4-7+),0.4,0.08,0.67
(8+9+)(1+3+4+)(6+7+9+),0.4,0.06,0.66
(8+9+)(3+4-8+),0.4,0.05,0.66
(8+9+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(8+9+)(3+4+8+),0.4,0.06,0.66
(8+9+)(1+3+6+),0.4,0.06,0.66
(8+9+)(2+7+9+),0.5,0.06,0.67
(2+3+4+8+),0.5,0.06,0.67
(3+7+8+)(1+2+6+7+),0.4,0.1,0.67
(3+7+8+)(6+7+9+),0.5,0.07,0.67
(6+7+8+)(1+2+6+7+),0.4,0.08,0.67
(6+7+8+)(6+7+9+),0.5,0.07,0.67
(2+4-)(3+4-8+)(6+7+9+),0.4,0.06,0.66
(2+4-)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(2+4-)(3+6+)(1+3+6+),0.4,0.06,0.66
(2+4-)(3+4+8+),0.4,0.06,0.66
(2+4-)(2+4-7+),0.4,0.06,0.66
(2+4-)(1+4+9+),0.4,0.05,0.66
(2+4-)(1+3+4+),0.5,0.05,0.67
(2+4-)(2+7+9+),0.5,0.06,0.67
(2+4-)(4+7-),0.4,0.05,0.66
(1+7-)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(1+7-)(3+4+8+),0.4,0.06,0.66
(1+7-)(1+4+9+),0.4,0.05,0.66
(1+7-)(2+7+9+),0.4,0.05,0.66
(2+4+)(3+4-8+)(6+7+9+),0.4,0.07,0.66
(2+4+)(1+6+7+)(2+6+7+)(1+2+6+7+),0.4,0.05,0.66
(2+4+)(3+6+)(1+3+6+),0.4,0.06,0.66
(2+4+)(3+4+8+),0.4,0.06,0.66
(2+4+)(2+4-7+),0.4,0.06,0.66
(2+4+)(1+4+9+),0.4,0.05,0.66
(2+4+)(1+3+4+),0.5,0.05,0.67
