patterns,Supp X,Supp Y,Supp Z
(3+4+6+8+)(5+6+7+8+),0.4,0.1,0.67
(3+4+6+8+)(1+2+6+7+8+),0.4,0.08,0.67
(5+8+)(1+2+5+)(0+1+2+5+),0.4,0.07,0.66
(5+8+)(0+1+3+5+),0.4,0.06,0.66
(5+8+)(0+1+7+)(0+1+2+7+),0.4,0.05,0.66
(5+8+)(0+2+3+5+),0.4,0.05,0.66
(5+8+)(0+1+4+),0.5,0.06,0.67
(5+8+)(0+4+8+)(0+3+4+8+),0.5,0.05,0.67
(5+8+)(2+3+8+)(0+1+2+5+),0.4,0.05,0.66
(5+8+)(7+8+)(0+1+2+5+),0.4,0.07,0.66
(5+8+)(7+8+)(5+6+7+),0.4,0.06,0.66
(5+8+)(0+1+3+)(0+5+9+),0.4,0.05,0.66
(5+8+)(1+2+8+)(1+7+8+)(2+6+8+)(1+2+6+8+)(1+2+7+8+)(1+6+7+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.06,0.66
(1+2+6+7+)(5+6+7+8+),0.4,0.05,0.66
(1+2+6+7+)(1+2+6+8+)(1+2+7+8+)(1+6+7+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.06,0.66
(2+6+7+8+9+),0.9,0.11,0.68
(1+7+9+)(0+1+3+5+),0.4,0.09,0.67
(1+7+9+)(0+2+3+5+),0.4,0.05,0.66
(1+7+9+)(2+3+8+)(0+1+2+5+),0.4,0.05,0.66
(1+7+9+)(5+6+7+8+),0.4,0.05,0.66
(1+7+9+)(0+1+2+7+),0.4,0.05,0.66
(1+7+9+)(0+3+4+8+),0.5,0.06,0.67
(1+7+9+)(2+6+8+)(1+2+6+8+)(1+2+7+8+)(1+6+7+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.06,0.66
(0+5+6+)(1+2+5+)(0+1+2+5+),0.4,0.06,0.66
(0+5+6+)(0+1+3+5+),0.4,0.05,0.66
(0+5+6+)(0+2+3+5+),0.4,0.05,0.66
(0+5+6+)(2+3+8+)(0+1+2+5+),0.4,0.05,0.66
(0+5+6+)(5+6+7+8+),0.4,0.05,0.66
(0+5+6+)(0+1+2+7+),0.4,0.05,0.66
(0+5+6+)(0+3+4+8+),0.5,0.06,0.67
(0+5+6+)(1+2+8+)(1+7+8+)(2+6+8+)(1+2+6+8+)(1+2+7+8+)(1+6+7+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.06,0.66
(0+4+9+)(1+2+5+)(0+1+2+5+),0.4,0.06,0.66
(0+4+9+)(0+1+3+5+),0.4,0.05,0.66
(0+4+9+)(0+2+3+5+),0.4,0.05,0.66
(0+4+9+)(2+3+8+)(0+1+2+5+),0.4,0.05,0.66
(0+4+9+)(5+6+7+8+),0.4,0.05,0.66
(0+4+9+)(0+1+2+7+),0.4,0.05,0.66
(0+4+9+)(0+3+4+8+),0.5,0.06,0.67
(0+4+9+)(1+2+8+)(1+7+8+)(2+6+8+)(1+2+6+8+)(1+2+7+8+)(1+6+7+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.06,0.66
(2+3+6+8+)(5+6+7+8+),0.4,0.1,0.67
(2+3+6+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.07,0.66
(1+2+3+6+7+9+),0.9,0.11,0.68
(3+4+6+7+)(5+6+7+8+),0.4,0.09,0.67
(3+4+6+7+)(1+2+6+7+8+),0.4,0.08,0.66
(3+4+6+8+9+),1.0,0.13,0.69
(5+9+)(1+2+5+)(0+1+2+5+),0.4,0.07,0.66
(5+9+)(0+1+3+5+),0.4,0.05,0.66
(5+9+)(0+1+7+)(0+1+2+7+),0.4,0.05,0.66
(5+9+)(0+2+3+5+),0.4,0.05,0.66
(5+9+)(0+1+4+),0.5,0.06,0.67
(5+9+)(0+4+8+)(0+3+4+8+),0.5,0.05,0.67
(5+9+)(2+3+8+)(0+1+2+5+),0.4,0.05,0.66
(5+9+)(7+8+)(0+1+2+5+),0.4,0.07,0.66
(5+9+)(7+8+)(5+6+7+),0.4,0.06,0.66
(5+9+)(0+1+3+)(0+5+9+),0.4,0.05,0.66
(5+9+)(1+2+8+)(1+7+8+)(2+6+8+)(1+2+6+8+)(1+2+7+8+)(1+6+7+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.06,0.66
(5+9-)(0+4+8+)(0+3+4+8+),0.4,0.05,0.66
(5+8+9+)(5+6+7+8+),0.4,0.06,0.66
(1+2+6+8+)(1+2+7+8+)(1+6+7+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.06,0.66
(1+2+6+8+)(5+6+7+8+),0.4,0.05,0.66
(0+5+7+)(1+2+5+)(0+1+2+5+),0.4,0.06,0.66
(0+5+7+)(0+1+3+5+),0.4,0.05,0.66
(0+5+7+)(0+2+3+5+),0.4,0.05,0.66
(0+5+7+)(2+3+8+)(0+1+2+5+),0.4,0.05,0.66
