patterns,Supp X,Supp Y,Supp Z
(3+4+6+8+),1.0,0.13,0.69
(5+8+)(6+7+9+),0.44,0.11,0.67
(5+8+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(1+2+6+7+),1.0,0.18,0.69
(5+8-)(6+7+9+),0.44,0.08,0.67
(5+8-)(0+1+3+6+),0.44,0.06,0.67
(1+7+9+)(6+7+9+),0.44,0.08,0.67
(1+7+9+)(0+1+3+6+),0.44,0.06,0.67
(0+5+6+)(6+7+9+),0.44,0.08,0.67
(0+5+6+)(0+1+3+6+),0.44,0.06,0.67
(0+4+9+)(6+7+9+),0.44,0.09,0.67
(0+4+9+)(0+1+3+6+),0.44,0.07,0.67
(2+3+6+8+),1.0,0.12,0.69
(4+5+9+)(0+1+3+6+),0.44,0.05,0.67
(3+4+6+8+9+),0.67,0.08,0.68
(5+9+)(6+7+9+),0.44,0.1,0.67
(5+9+)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(5+9-)(6+7+9+),0.44,0.09,0.67
(5+9-)(0+3+6+)(0+1+3+6+),0.44,0.05,0.67
(5+8+9+)(0+1+3+6+),0.44,0.05,0.67
(1+2+6+8+),1.0,0.12,0.69
(0+5+7+)(6+7+9+),0.44,0.09,0.67
(0+5+7+)(0+1+3+6+),0.44,0.07,0.67
(2+3+6+7+),1.0,0.13,0.69
(1+2+3+6+7+8+),1.0,0.12,0.69
(1+8+9+)(6+7+9+),0.44,0.09,0.67
(1+8+9+)(0+1+3+6+),0.44,0.07,0.67
(4+6+9+)(0+1+3+6+),0.44,0.1,0.67
(4+6+9+)(6+7+9+),0.44,0.08,0.67
(6+7+)(6+7+9+),0.44,0.17,0.67
(6+7+)(0+3+6+)(0+1+3+6+),0.44,0.06,0.67
(1+2+6+9+),0.89,0.09,0.68
(0+1+5+6+),0.89,0.1,0.68
(1+2+6+7+8+),1.0,0.12,0.69
(2+3+4+8+9+),0.89,0.1,0.68
(4+6+8+)(0+1+3+6+),0.44,0.09,0.67
(4+6+8+)(6+7+9+),0.44,0.08,0.67
(3+4+6+9+),0.67,0.08,0.68
(2+4+8+9+),0.89,0.1,0.68
(6+8+)(6+7+9+),0.44,0.17,0.67
(6+8+)(0+3+6+)(0+1+3+6+),0.44,0.06,0.67
(4+6+7+)(0+1+3+6+),0.44,0.08,0.67
(4+6+7+)(6+7+9+),0.44,0.07,0.67
(1+3+8+9+),0.89,0.1,0.68
(0+4+8+)(6+7+9+),0.44,0.07,0.67
(0+4+8+)(0+1+3+6+),0.44,0.06,0.67
(1+2+6+7+9+),0.89,0.09,0.68
(2+4+7+9+),1.0,0.16,0.69
(4+7+8+)(0+1+3+6+),0.44,0.09,0.67
(4+7+8+)(6+7+9+),0.44,0.08,0.67
(2+3+7+9+),0.89,0.11,0.68
(6+9+)(6+7+9+),0.44,0.14,0.67
(6+9+)(0+3+6+)(0+1+3+6+),0.44,0.06,0.67
(3+4+7+)(0+1+3+6+),0.44,0.09,0.67
(3+4+7+)(6+7+9+),0.44,0.08,0.67
(5+7+8+)(0+1+3+6+),0.44,0.07,0.67
(5+7+8+)(6+7+9+),0.44,0.06,0.67
(3+4+6+)(0+1+3+6+),0.44,0.09,0.67
(3+4+6+)(6+7+9+),0.44,0.08,0.67
(2+3+7+8+),1.0,0.2,0.69
(0+4+5+9+),0.56,0.06,0.67
(1+6+7+9+),0.89,0.09,0.68
(0+5+8+)(6+7+9+),0.44,0.09,0.67
(0+5+8+)(0+1+3+6+),0.44,0.07,0.67
(2+3+4+7+8+),1.0,0.14,0.69
(7+8+)(6+7+9+),0.44,0.18,0.67
(7+8+)(0+3+6+)(0+1+3+6+),0.44,0.06,0.67
(2+4+7+8+),1.0,0.14,0.69
(4+7+9+)(0+1+3+6+),0.44,0.1,0.67
(4+7+9+)(6+7+9+),0.44,0.08,0.67
(1+6+7+8+),1.0,0.12,0.69
(0+5+9+)(6+7+9+),0.44,0.08,0.67
(0+5+9+)(0+1+3+6+),0.44,0.06,0.67
(2+3+4+7+9+),0.89,0.1,0.68
(7+9+)(6+7+9+),0.44,0.15,0.67
