patterns,Supp X,Supp Y,Supp Z
(2+3+)(6+8+),0.5,0.06,0.67
(6+7+)(6+8+),0.5,0.08,0.67
(6+9-),0.5,0.06,0.67
(4+9+)(6+8+)(6+9-),0.4,0.07,0.66
(9+)(3+8+),0.4,0.22,0.67
(9+)(6+8+)(6+9-),0.4,0.1,0.67
(9+)(1+6+),0.4,0.07,0.66
(7+)(6+8+)(6+9-),0.4,0.1,0.67
(7+)(1+6+),0.4,0.08,0.66
(7+)(3+8+),0.4,0.07,0.66
(3+)(6+8+)(6+9-),0.4,0.09,0.67
(3+)(1+6+),0.4,0.07,0.66
(3+)(3+8+),0.4,0.06,0.66
(3+4+)(3+8+),0.4,0.09,0.67
(3+4+)(6+8+)(6+9-),0.4,0.06,0.66
(1+6+)(3+8+),0.4,0.09,0.67
(1+6+)(6+8+)(6+9-),0.4,0.06,0.66
(1+)(6+8+)(6+9-),0.4,0.08,0.66
(1+)(1+6+),0.4,0.06,0.66
(1+)(2+)(6+8+),0.4,0.06,0.66
(1+)(3+8+),0.4,0.06,0.66
(2+7+)(3+8+),0.4,0.09,0.67
(2+7+)(6+8+)(6+9-),0.4,0.06,0.66
(3+8+)(6+8+)(6+9-),0.4,0.08,0.67
(8+9-),0.7,0.08,0.68
(6+9+),1.0,0.11,0.69
(7+8+),1.0,0.12,0.69
(8+9+),1.0,0.13,0.69
(1+3+)(6+8+),0.5,0.06,0.67
(6+8+)(6+9-),0.4,0.08,0.67
(8+)(6+8+)(6+9-),0.4,0.12,0.67
(8+)(1+6+),0.4,0.09,0.67
(8+)(3+8+),0.4,0.07,0.66
(6+)(6+8+)(6+9-),0.4,0.1,0.67
(6+)(1+6+),0.4,0.08,0.66
(6+)(3+8+),0.4,0.07,0.66
(4+)(6+8+)(6+9-),0.4,0.11,0.67
(4+)(1+6+),0.4,0.08,0.66
(4+)(3+8+),0.4,0.07,0.66
(2+)(6+8+)(6+9-),0.4,0.08,0.66
(2+)(1+6+),0.4,0.06,0.66
(2+)(3+8+),0.4,0.06,0.66
(7+9+),0.9,0.11,0.68
