patterns,Supp X,Supp Y,Supp Z
(1+4+6+8+)(4+6+7+9+)(1+2+4+6+7+9+),0.4,0.07,0.66
(1+4+6+8+)(1+6+7+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.06,0.66
(0+7-)(1+4+9+)(4+6+9+)(1+4+6+9+),0.4,0.07,0.66
(0+7-)(1+2+3+4+),0.4,0.06,0.66
(0+7-)(2+5+)(0+2+5+),0.4,0.05,0.66
(0+7-)(1+2+8+)(1+7+8+)(2+6+8+)(1+2+6+8+)(1+2+7+8+)(1+6+7+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.06,0.66
(0+7-)(4+5-),0.4,0.05,0.66
(0+7-)(0+9+)(3+9+),0.4,0.06,0.66
(0+7-)(1+2+4+6+7+9+),0.4,0.05,0.66
(0+7-)(0+1+6+),0.4,0.06,0.66
(1+4+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.4,0.08,0.66
(1+4+)(1+2+3+4+),0.4,0.07,0.66
(1+4+)(2+5+)(0+2+5+),0.4,0.05,0.66
(1+4+)(1+2+8+)(1+7+8+)(2+6+8+)(1+2+6+8+)(1+2+7+8+)(1+6+7+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.06,0.66
(1+4+)(4+5-),0.4,0.05,0.66
(1+4+)(3+9+),0.4,0.06,0.66
(1+4+)(1+2+4+6+7+9+),0.4,0.05,0.66
(1+4+)(0+1+6+),0.4,0.06,0.66
(3+4+6+8+)(4+6+7+9+)(1+2+4+6+7+9+),0.4,0.07,0.66
(3+4+6+8+)(1+2+6+7+8+),0.4,0.06,0.66
(0+2+3+7+),0.5,0.06,0.67
(5+8+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.4,0.07,0.66
(5+8+)(2+4+6+9+)(4+6+7+9+),0.4,0.05,0.66
(5+8+)(1+2+3+4+),0.4,0.05,0.66
(5+8+)(1+2+8+)(1+7+8+)(2+6+8+)(1+2+6+8+)(1+2+7+8+)(1+6+7+8+)(2+6+7+8+)(1+2+6+7+8+),0.4,0.06,0.66
(5+8+)(0+2+5+),0.4,0.05,0.66
(5+8+)(0+1+6+),0.4,0.06,0.66
(5+8+)(1+2+4+6+7+9+),0.4,0.05,0.66
(0+1+2+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.4,0.07,0.66
(0+1+2+)(2+4+6+9+)(4+6+7+9+),0.4,0.05,0.66
(0+1+2+)(1+2+3+4+),0.4,0.05,0.66
