patterns,Supp X,Supp Y,Supp Z
(1+4+6+8+)(1+4+6+9+),0.56,0.1,0.67
(1+4+6+8+)(2+7+8+9+),0.44,0.08,0.67
(1+4-),0.56,0.06,0.67
(1+4+)(3+5+),0.44,0.13,0.67
(1+4+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(1+4+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(1+4+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(3+4+6+8+),1.0,0.12,0.69
(5+8+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(5+8+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(5+8+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(1+2+6+7+)(1+4+6+9+),0.56,0.13,0.67
(1+2+6+7+)(2+7+8+9+),0.44,0.09,0.67
(1+2+8+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(1+2+8+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.56,0.09,0.67
(1+7+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(0+7+)(3+5+),0.44,0.08,0.67
(0+7+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(0+7+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(0+7+)(0+9-),0.44,0.05,0.67
(0+7+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(1+)(3+5+),0.44,0.43,0.68
(1+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(1+)(0+9-),0.44,0.05,0.67
(1+)(9+)(2+8+9+)(2+7+8+9+),0.44,0.1,0.67
(1+)(0+6+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(2+4+7+8+9+),0.89,0.1,0.68
(1+4-6+),0.56,0.06,0.67
(1+3+4+6+)(1+4+6+9+),0.56,0.11,0.67
(1+3+4+6+)(2+7+8+9+),0.44,0.08,0.67
(2+3+6+8+)(2+7+8+9+),0.44,0.08,0.67
(1+4+6+7+)(1+4+6+9+),0.56,0.09,0.67
(1+4+6+7+)(2+7+8+9+),0.44,0.07,0.67
(3+4+6+8+9+),0.56,0.06,0.67
(5+9+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(5+9+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(5+9+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(0+1+3+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(5+9-)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(5+9-)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(5+9-)(0+1+6+),0.44,0.06,0.67
(1+3+4+6+8+9+),0.56,0.06,0.67
(1+3+6+)(2+8+9+)(2+7+8+9+),0.44,0.08,0.67
(1+3+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.56,0.09,0.67
(1+2+6+8+)(1+4+6+9+),0.56,0.1,0.67
(1+2+6+8+)(2+7+8+9+),0.44,0.07,0.67
(1+2+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(0+8+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(0+8+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(0+8+)(0+9-),0.44,0.05,0.67
(0+8+)(0+1+6+),0.44,0.06,0.67
(2+)(3+5+),0.44,0.41,0.68
(2+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(2+)(0+9-),0.44,0.05,0.67
(2+)(9+)(2+8+9+)(2+7+8+9+),0.44,0.1,0.67
(2+)(0+6+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(2+3+6+7+)(2+7+8+9+),0.44,0.08,0.67
(3+7+9+)(4+6+9+)(1+4+6+9+),0.56,0.1,0.67
(3+7+9+)(2+7+8+9+),0.44,0.07,0.67
(1+2+3+6+7+8+),0.89,0.1,0.68
(2+3+)(3+5+),0.44,0.15,0.67
(2+3+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(2+3+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(2+3+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(2+4+9+)(2+8+9+)(2+7+8+9+),0.44,0.08,0.67
(2+4+9+)(4+6+9+)(1+4+6+9+),0.56,0.09,0.67
(1+8+9+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(1+8+9+)(4+6+9+)(1+4+6+9+),0.56,0.08,0.67
(7+8+9+)(2+7+8+9+),0.44,0.1,0.67
(7+8+9+)(1+4+6+9+),0.56,0.09,0.67
(4+6+9+)(2+7+8+9+),0.44,0.1,0.67
(4+6+9+)(1+4+6+9+),0.56,0.1,0.67
(6+7+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(6+7+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(6+7+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(1+3+7+)(2+8+9+)(2+7+8+9+),0.44,0.07,0.67
(1+3+7+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.56,0.09,0.67
(1+2+6+9+)(1+4+6+9+),0.44,0.06,0.67
(3+)(3+5+),0.44,0.44,0.68
(3+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(3+)(0+9-),0.44,0.05,0.67
(3+)(9+)(2+8+9+)(2+7+8+9+),0.44,0.1,0.67
(3+)(0+6+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(0+9-),0.56,0.06,0.67
(1+6+)(3+5+),0.44,0.29,0.67
(1+6+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(1+6+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(1+6+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(0+9+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(0+9+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(0+9+)(0+1+6+),0.44,0.06,0.67
(1+2+6+7+8+),0.89,0.1,0.68
(2+3+4+8+9+),0.89,0.1,0.68
(1+4+6+8+9+),0.56,0.06,0.67
(3+7+8+)(4+6+9+)(1+4+6+9+),0.56,0.11,0.67
(3+7+8+)(2+7+8+9+),0.44,0.08,0.67
(6+7+8+)(2+7+8+9+),0.44,0.1,0.67
(6+7+8+)(1+4+6+9+),0.56,0.1,0.67
(1+7-)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(2+4+)(3+5+),0.44,0.14,0.67
(2+4+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(2+4+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(2+4+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(4+6+8+)(4+6+9+)(1+4+6+9+),0.56,0.1,0.67
(4+6+8+)(2+7+8+9+),0.44,0.07,0.67
(3+4+6+9+),0.56,0.06,0.67
(2+4+8+9+),0.89,0.1,0.68
(6+8+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(6+8+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(6+8+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(3+6+7+8+),0.89,0.1,0.68
(4+6+7+)(4+6+9+)(1+4+6+9+),0.56,0.09,0.67
(4+6+7+)(2+7+8+9+),0.44,0.07,0.67
(1+3+8+9+)(1+4+6+9+),0.56,0.09,0.67
(1+3+8+9+)(2+7+8+9+),0.44,0.07,0.67
(1+3+8+)(2+8+9+)(2+7+8+9+),0.44,0.08,0.67
(1+3+8+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.56,0.09,0.67
(2+3+6+7+8+),0.89,0.1,0.68
(4+)(3+5+),0.44,0.43,0.68
(4+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(4+)(0+9-),0.44,0.05,0.67
(4+)(9+)(2+8+9+)(2+7+8+9+),0.44,0.1,0.67
(4+)(0+6+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(1+7+)(3+5+),0.44,0.11,0.67
(1+7+)(0+4+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(1+7+)(2+8+9+)(2+7+8+9+),0.44,0.06,0.67
(1+7+)(0+1+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.44,0.07,0.67
(1+2+6+7+9+),0.44,0.05,0.67
(2+4+7+)(2+8+9+)(2+7+8+9+),0.44,0.09,0.67
(2+4+7+)(4+6+9+)(1+4+6+9+),0.56,0.09,0.67
(2+4+7+9+)(2+7+8+9+),0.44,0.11,0.67
(4+7+8+)(2+7+8+9+),0.44,0.09,0.67
