patterns,Supp X,Supp Y,Supp Z
(1+4+6+8+)(2+3+4+7+),0.5,0.07,0.67
(1+4-)(3+9-),0.5,0.09,0.67
(1+4-)(1+5-),0.5,0.07,0.67
(1+4-)(5+9-)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.06,0.67
(1+4-)(2+4-)(2+9-)(4+7-)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(0+7-)(3+9-),0.5,0.1,0.67
(0+7-)(0+8+)(1+5-),0.5,0.06,0.67
(0+7-)(5+9-)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.06,0.67
(0+7-)(2+4-)(2+9-)(4+7-)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(1+4+)(3+9-),0.5,0.11,0.67
(1+4+)(1+5-),0.5,0.08,0.67
(1+4+)(5+9-)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.06,0.67
(1+4+)(2+4-)(2+9-)(4+7-)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(3+4+6+8+),0.67,0.07,0.68
(5+8+)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(5+8+)(5+9-)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.06,0.67
(5+8-),0.5,0.05,0.67
(0+1+2+)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.07,0.67
(0+1+2+)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(1+2+6+7+)(2+3+4+7+),0.5,0.11,0.67
(0+7+)(3+9-),0.5,0.09,0.67
(0+7+)(0+8+)(1+5-),0.5,0.06,0.67
(0+7+)(5+9-)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.06,0.67
(0+7+)(2+4-)(2+9-)(4+7-)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(0+5+6+)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.07,0.67
(0+5+6+)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(1+)(0+3+)(0+7-)(0+8+)(1+5-),0.5,0.09,0.67
(1+)(0+3+)(3+9-),0.5,0.07,0.67
(1+)(0+3+)(0+5+)(5+9-)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.06,0.67
(1+)(0+3+)(2+4-)(2+9-)(4+7-)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(0+4+9+)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.07,0.67
(0+4+9+)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(1+4-6+)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(1+4-6+)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.06,0.67
(1+3+4+6+)(2+3+4+7+),0.5,0.07,0.67
(1+4+6+7+),0.5,0.06,0.67
(1+5-),0.83,0.09,0.68
(0+8-)(3+9-),0.5,0.09,0.67
(0+8-)(0+8+)(1+5-),0.5,0.06,0.67
(0+8-)(5+9-)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.06,0.67
(0+8-)(2+4-)(2+9-)(4+7-)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(1+5+)(3+9-),0.5,0.1,0.67
(1+5+)(5+9-)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.06,0.67
(1+5+)(2+4-)(2+9-)(4+7-)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(4+5+9+),0.5,0.05,0.67
(5+9+)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.07,0.67
(5+9+)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(0+1+3+)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.07,0.67
(0+1+3+)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(5+9-)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.06,0.67
(5+9-)(2+4-7+)(5+6+8+),0.5,0.06,0.67
(1+3+6+)(2+4-7+)(5+6+8+),0.5,0.07,0.67
(1+3+6+)(3+4+7+)(6+8+9+)(2+3+4+7+),0.5,0.06,0.67
(0+8+)(3+9-),0.5,0.09,0.67
