patterns,Supp X,Supp Y,Supp Z
(1+4+6+8+)(1+4+6+9+),0.5,0.09,0.67
(1+4-)(5+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.5,0.07,0.67
(1+4+)(2+9+)(1+3+4+),0.5,0.11,0.67
(1+4+)(3+7+)(2+3+7+)(3+8+9+),0.5,0.09,0.67
(1+4+)(5+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.5,0.07,0.67
(1+4+)(1+3+9+),0.5,0.06,0.67
(3+4+6+8+),1.0,0.12,0.69
(5+8+)(1+3+4+),0.5,0.07,0.67
(1+2+6+7+)(1+4+6+9+),0.5,0.12,0.67
(1+2+8+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.5,0.07,0.67
(1+2+8+)(2+3+7+)(3+8+9+),0.5,0.09,0.67
(1+2+8+)(1+3+4+),0.5,0.08,0.67
(1+2+8+)(1+3+9+),0.5,0.07,0.67
(1+7+9+),0.67,0.07,0.68
(1+)(2+9+)(1+3+4+),0.5,0.25,0.68
(1+)(3+7+)(2+3+7+)(3+8+9+),0.5,0.09,0.67
(1+)(5+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.5,0.07,0.67
(1+)(1+3+9+),0.5,0.06,0.67
(1+4-6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.5,0.07,0.67
(2+4+7+8+9+),1.0,0.11,0.69
(1+3+4+6+)(1+4+6+9+),0.5,0.1,0.67
(2+3+6+8+),0.83,0.09,0.68
(1+4+6+7+)(1+4+6+9+),0.5,0.09,0.67
(3+4+6+8+9+),0.83,0.09,0.68
(5+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.5,0.07,0.67
(5+9+)(2+3+7+)(3+8+9+),0.5,0.09,0.67
(5+9+)(1+3+4+),0.5,0.08,0.67
(5+9+)(1+3+9+),0.5,0.07,0.67
(1+3+4+6+8+9+),0.83,0.09,0.68
(1+3+6+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.5,0.08,0.67
(1+3+6+)(2+3+7+)(3+8+9+),0.5,0.09,0.67
(1+3+6+)(1+3+9+),0.5,0.07,0.67
(1+2+6+8+)(1+4+6+9+),0.5,0.09,0.67
(1+2+9+),0.67,0.08,0.68
(2+)(2+9+)(1+3+4+),0.5,0.26,0.68
(2+)(3+7+)(2+3+7+)(3+8+9+),0.5,0.09,0.67
(2+)(5+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.5,0.07,0.67
(2+)(1+3+9+),0.5,0.06,0.67
(2+3+6+7+),1.0,0.12,0.69
(3+7+9+)(3+8+9+),0.5,0.09,0.67
(3+7+9+)(4+6+9+)(1+4+6+9+),0.5,0.07,0.67
(1+2+3+6+7+8+),0.83,0.09,0.68
(2+3+)(2+9+)(1+3+4+),0.5,0.08,0.67
(2+3+)(3+7+)(2+3+7+)(3+8+9+),0.5,0.09,0.67
(2+3+)(5+9+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.5,0.07,0.67
(2+3+)(1+3+9+),0.5,0.07,0.67
(1+8+9+),0.83,0.09,0.68
(2+4+9+)(3+8+9+),0.5,0.1,0.67
(2+4+9+)(4+6+9+)(1+4+6+9+),0.5,0.08,0.67
(7+8+9+)(1+4+6+9+),0.5,0.1,0.67
(4+6+9+)(1+4+6+9+),0.5,0.11,0.67
(6+7+)(1+4+9+)(4+6+9+)(1+4+6+9+),0.5,0.08,0.67
(6+7+)(2+3+7+)(3+8+9+),0.5,0.09,0.67
